#	startTime:1561017938271
#	SiteID:5cd969be39e2fc0b4afe732d	SiteName:东方商厦(青浦店)	FloorId:5cd969c839e2fc0b4afe7eda	FloorName:B1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561017938272	TYPE_WAYPOINT	68.60472	27.407728
1561017938456	TYPE_ACCELEROMETER	-0.40319824	2.8295135	9.756729
1561017938456	TYPE_MAGNETIC_FIELD	11.219999	19.439999	-43.5
1561017938456	TYPE_GYROSCOPE	-0.24298096	0.0920105	0.027328491
1561017938456	TYPE_ROTATION_VECTOR	0.15141334	0.044412494	0.13589458
1561017938456	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.379999	-14.880001	-179.87999
1561017938456	TYPE_GYROSCOPE_UNCALIBRATED	-0.18080139	0.09895325	-0.09101868
1561017938456	TYPE_ACCELEROMETER_UNCALIBRATED	-0.40319824	2.8295135	9.756729
1561017938476	TYPE_ACCELEROMETER	-0.21057129	2.6691895	10.0785675
1561017938476	TYPE_MAGNETIC_FIELD	11.34	19.5	-43.86
1561017938476	TYPE_GYROSCOPE	-0.29490662	0.06695557	0.05419922
1561017938476	TYPE_ROTATION_VECTOR	0.1352598	0.04154126	0.15589549
1561017938476	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.5	-14.82	-180.23999
1561017938476	TYPE_GYROSCOPE_UNCALIBRATED	-0.24861145	0.13562012	-0.04336548
1561017938476	TYPE_ACCELEROMETER_UNCALIBRATED	-0.21057129	2.6691895	10.0785675
1561017938496	TYPE_ACCELEROMETER	0.11605835	2.5878448	10.406387
1561017938496	TYPE_MAGNETIC_FIELD	11.4	19.74	-43.92
1561017938496	TYPE_GYROSCOPE	-0.3529358	-0.08514404	0.037078857
1561017938496	TYPE_ROTATION_VECTOR	0.124709785	0.032176036	0.17175959
1561017938496	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.5599995	-14.58	-180.29999
1561017938496	TYPE_GYROSCOPE_UNCALIBRATED	-0.35856628	-0.041534424	-0.033615112
1561017938496	TYPE_ACCELEROMETER_UNCALIBRATED	-0.21057129	2.6691895	10.0785675
1561017938515	TYPE_ACCELEROMETER	0.05026245	2.3042908	10.266403
1561017938515	TYPE_MAGNETIC_FIELD	11.219999	19.92	-44.16
1561017938515	TYPE_GYROSCOPE	-0.35476685	-0.14315796	-0.013000488
1561017938515	TYPE_ROTATION_VECTOR	0.12002899	0.015371343	0.17031151
1561017938515	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.379999	-14.4	-180.54
1561017938515	TYPE_GYROSCOPE_UNCALIBRATED	-0.35856628	-0.041534424	-0.033615112
1561017938515	TYPE_ACCELEROMETER_UNCALIBRATED	0.05026245	2.3042908	10.266403
1561017938535	TYPE_ACCELEROMETER	0.0059814453	2.0434723	10.213776
1561017938535	TYPE_MAGNETIC_FIELD	11.34	19.98	-44.34
1561017938535	TYPE_GYROSCOPE	-0.37065125	-0.032592773	-0.040481567
1561017938535	TYPE_ROTATION_VECTOR	0.10763604	0.015494108	0.16864546
1561017938535	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.5	-14.34	-180.71999
1561017938535	TYPE_GYROSCOPE_UNCALIBRATED	-0.36039734	-0.09954834	-0.08369446
1561017938535	TYPE_ACCELEROMETER_UNCALIBRATED	0.0059814453	2.0434723	10.213776
1561017938555	TYPE_ACCELEROMETER	-0.14237976	1.6091766	10.597809
1561017938555	TYPE_MAGNETIC_FIELD	11.16	20.039999	-44.219997
1561017938555	TYPE_GYROSCOPE	-0.4524994	0.10482788	-0.040481567
1561017938555	TYPE_ROTATION_VECTOR	0.10437387	0.01399651	0.16828728
1561017938555	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.3199997	-14.280001	-180.59999
1561017938555	TYPE_GYROSCOPE_UNCALIBRATED	-0.45812988	0.1484375	-0.11117554
1561017938555	TYPE_ACCELEROMETER_UNCALIBRATED	-0.14237976	1.6091766	10.597809
1561017938574	TYPE_ACCELEROMETER	-0.34457397	1.0875397	11.270203
1561017938574	TYPE_MAGNETIC_FIELD	11.34	20.22	-44.219997
1561017938574	TYPE_GYROSCOPE	-0.5459595	0.18058777	-0.042312622
1561017938574	TYPE_ROTATION_VECTOR	0.100402676	0.013734863	0.16798489
1561017938574	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.5	-14.1	-180.59999
1561017938574	TYPE_GYROSCOPE_UNCALIBRATED	-0.45812988	0.1484375	-0.11117554
1561017938574	TYPE_ACCELEROMETER_UNCALIBRATED	-0.34457397	1.0875397	11.270203
1561017938594	TYPE_ACCELEROMETER	-0.41036987	0.65444946	11.927032
1561017938594	TYPE_MAGNETIC_FIELD	11.4	20.58	-44.16
1561017938594	TYPE_GYROSCOPE	-0.58628845	0.15370178	-0.063705444
1561017938594	TYPE_ROTATION_VECTOR	0.09532129	0.014440144	0.167813
1561017938594	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.5599995	-13.74	-180.54
1561017938594	TYPE_GYROSCOPE_UNCALIBRATED	-0.55158997	0.22419739	-0.11300659
1561017938594	TYPE_ACCELEROMETER_UNCALIBRATED	-0.41036987	0.65444946	11.927032
1561017938614	TYPE_ACCELEROMETER	-0.21176147	0.49412537	12.335007
1561017938614	TYPE_MAGNETIC_FIELD	11.46	21.0	-43.86
1561017938614	TYPE_GYROSCOPE	-0.51664734	0.08100891	-0.111343384
1561017938614	TYPE_ROTATION_VECTOR	0.089464046	0.01523221	0.16758572
1561017938614	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.62	-13.32	-180.23999
1561017938614	TYPE_GYROSCOPE_UNCALIBRATED	-0.59191895	0.1973114	-0.13439941
1561017938614	TYPE_ACCELEROMETER_UNCALIBRATED	-0.41036987	0.65444946	11.927032
1561017938633	TYPE_ACCELEROMETER	-0.0095825195	0.61854553	11.97847
1561017938633	TYPE_MAGNETIC_FIELD	11.34	21.42	-43.5
1561017938633	TYPE_GYROSCOPE	-0.32299805	-0.07597351	-0.18708801
1561017938633	TYPE_ROTATION_VECTOR	0.08378592	0.015563206	0.1669591
1561017938633	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.5	-12.9	-179.87999
1561017938633	TYPE_GYROSCOPE_UNCALIBRATED	-0.52227783	0.12461853	-0.18203735
1561017938633	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0095825195	0.61854553	11.97847
1561017938653	TYPE_ACCELEROMETER	0.026321411	0.7896271	11.003403
1561017938653	TYPE_MAGNETIC_FIELD	11.34	21.48	-43.5
1561017938653	TYPE_GYROSCOPE	-0.065216064	-0.24090576	-0.26405334
1561017938653	TYPE_ROTATION_VECTOR	0.07954275	0.015126269	0.16563864
1561017938653	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.5	-12.84	-179.87999
1561017938653	TYPE_GYROSCOPE_UNCALIBRATED	-0.07084656	-0.19729614	-0.3347473
1561017938653	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0095825195	0.61854553	11.97847
1561017938673	TYPE_ACCELEROMETER	-0.12683105	0.9499512	10.033112
1561017938673	TYPE_MAGNETIC_FIELD	11.46	21.779999	-43.2
1561017938673	TYPE_GYROSCOPE	0.14245605	-0.19203186	-0.30316162
1561017938673	TYPE_ROTATION_VECTOR	0.0779063	0.013303091	0.163331
1561017938673	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.62	-12.540001	-179.57999
1561017938673	TYPE_GYROSCOPE_UNCALIBRATED	-0.07084656	-0.19729614	-0.3347473
1561017938673	TYPE_ACCELEROMETER_UNCALIBRATED	-0.12683105	0.9499512	10.033112
1561017938692	TYPE_ACCELEROMETER	-0.13519287	1.105484	9.620346
1561017938692	TYPE_MAGNETIC_FIELD	11.46	22.08	-42.84
1561017938692	TYPE_GYROSCOPE	0.21575928	-0.0075531006	-0.25550842
1561017938692	TYPE_ROTATION_VECTOR	0.07873621	0.011257068	0.16032772
