#	startTime:1561018017502
#	SiteID:5cd969be39e2fc0b4afe732d	SiteName:东方商厦(青浦店)	FloorId:5cd969c839e2fc0b4afe7eda	FloorName:B1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561018017502	TYPE_WAYPOINT	51.548477	65.14385
1561018017619	TYPE_ACCELEROMETER	-0.75613403	2.0363007	9.292526
1561018017619	TYPE_MAGNETIC_FIELD	-15.059999	25.199999	-23.64
1561018017619	TYPE_GYROSCOPE	-0.3223877	0.58680725	-0.012069702
1561018017619	TYPE_ROTATION_VECTOR	0.109340586	0.015013349	-0.24906729
1561018017619	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-10.679999	-7.379999	-163.8
1561018017619	TYPE_GYROSCOPE_UNCALIBRATED	-0.47155762	0.78434753	-0.08428955
1561018017619	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8267212	1.9884338	9.682556
1561018017639	TYPE_ACCELEROMETER	-0.49771118	2.0733795	8.807983
1561018017639	TYPE_MAGNETIC_FIELD	-15.059999	25.199999	-23.64
1561018017639	TYPE_GYROSCOPE	0.10398865	0.10787964	0.0065612793
1561018017639	TYPE_ROTATION_VECTOR	0.109340586	0.015013349	-0.24906729
1561018017639	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-10.679999	-7.379999	-163.8
1561018017639	TYPE_GYROSCOPE_UNCALIBRATED	0.098358154	0.15148926	-0.06413269
1561018017639	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6400757	2.0566406	9.044876
1561018017659	TYPE_ACCELEROMETER	-0.27638245	2.0733795	8.530411
1561018017659	TYPE_MAGNETIC_FIELD	-14.88	24.9	-23.58
1561018017659	TYPE_GYROSCOPE	0.046569824	0.06390381	0.060913086
1561018017659	TYPE_ROTATION_VECTOR	0.11792568	1.50147E-6	-0.2450345
1561018017659	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-10.5	-7.6799984	-163.74
1561018017659	TYPE_GYROSCOPE_UNCALIBRATED	0.098358154	0.15148926	-0.06413269
1561018017659	TYPE_ACCELEROMETER_UNCALIBRATED	-0.37687683	2.0781708	8.622543
1561018017678	TYPE_ACCELEROMETER	-0.119644165	1.9992065	8.609375
1561018017678	TYPE_MAGNETIC_FIELD	-14.58	24.779999	-23.58
1561018017678	TYPE_GYROSCOPE	-0.06399536	0.05168152	0.10551453
1561018017678	TYPE_ROTATION_VECTOR	0.11954015	-0.010619769	-0.21580884
1561018017678	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-10.2	-7.799999	-163.74
1561018017678	TYPE_GYROSCOPE_UNCALIBRATED	0.04093933	0.10751343	-0.009780884
1561018017678	TYPE_ACCELEROMETER_UNCALIBRATED	-0.18305969	2.047058	8.524429
1561018017698	TYPE_ACCELEROMETER	-0.027526855	1.848465	9.029312
1561018017698	TYPE_MAGNETIC_FIELD	-14.46	24.48	-23.519999
1561018017698	TYPE_GYROSCOPE	-0.16967773	0.102996826	0.13298035
1561018017698	TYPE_ROTATION_VECTOR	0.1118247	-0.020678852	-0.23202825
1561018017698	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-10.08	-8.099998	-163.68001
1561018017698	TYPE_GYROSCOPE_UNCALIBRATED	-0.17530823	0.14660645	0.062286377
1561018017698	TYPE_ACCELEROMETER_UNCALIBRATED	-0.06939697	1.9298096	8.785248
1561018017718	TYPE_ACCELEROMETER	-0.12802124	1.7024994	9.507889
1561018017718	TYPE_MAGNETIC_FIELD	-14.46	24.18	-23.519999
1561018017718	TYPE_GYROSCOPE	-0.23443604	0.20318604	0.13726807
1561018017718	TYPE_ROTATION_VECTOR	0.09716754	-0.023851994	-0.24949294
1561018017718	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-10.08	-8.399998	-163.68001
1561018017718	TYPE_GYROSCOPE_UNCALIBRATED	-0.24006653	0.24679565	0.0665741
1561018017718	TYPE_ACCELEROMETER_UNCALIBRATED	-0.04786682	1.7706909	9.281754
1561018017737	TYPE_ACCELEROMETER	-0.30628967	1.6426697	9.853653
1561018017737	TYPE_MAGNETIC_FIELD	-14.16	23.939999	-23.519999
1561018017737	TYPE_GYROSCOPE	-0.25520325	0.25938416	0.120162964
1561018017737	TYPE_ROTATION_VECTOR	0.087357976	-0.013351127	-0.22374202
1561018017737	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-9.78	-8.639999	-163.68001
1561018017737	TYPE_GYROSCOPE_UNCALIBRATED	-0.24006653	0.24679565	0.0665741
1561018017737	TYPE_ACCELEROMETER_UNCALIBRATED	-0.21775818	1.6665955	9.692139
1561018017757	TYPE_ACCELEROMETER	-0.42114258	1.6307068	10.02713
1561018017757	TYPE_MAGNETIC_FIELD	-13.799999	23.34	-23.279999
1561018017757	TYPE_GYROSCOPE	-0.2533722	0.21968079	0.09573364
1561018017757	TYPE_ROTATION_VECTOR	0.081347525	-1.3704172E-4	-0.22484045
1561018017757	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-9.419999	-9.239998	-163.44
1561018017757	TYPE_GYROSCOPE_UNCALIBRATED	-0.26083374	0.30299377	0.049468994
1561018017757	TYPE_ACCELEROMETER_UNCALIBRATED	-0.37687683	1.6187439	9.974487
1561018017777	TYPE_ACCELEROMETER	-0.47138977	1.7431793	10.053452
1561018017777	TYPE_MAGNETIC_FIELD	-13.62	23.279999	-23.16
1561018017777	TYPE_GYROSCOPE	-0.23197937	0.13293457	0.07740784
1561018017777	TYPE_ROTATION_VECTOR	0.07945691	0.0027571796	-0.22360717
1561018017777	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-9.24	-9.299999	-163.32
1561018017777	TYPE_GYROSCOPE_UNCALIBRATED	-0.23760986	0.17654419	0.006713867
1561018017777	TYPE_ACCELEROMETER_UNCALIBRATED	-0.447464	1.684555	10.049866
1561018017796	TYPE_ACCELEROMETER	-0.4091797	1.8317108	10.073776
1561018017796	TYPE_MAGNETIC_FIELD	-13.5	23.279999	-23.22
1561018017796	TYPE_GYROSCOPE	-0.20570374	0.09321594	0.076187134
1561018017796	TYPE_ROTATION_VECTOR	0.077517316	0.004881252	-0.22264922
1561018017796	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-9.12	-9.299999	-163.38
1561018017796	TYPE_GYROSCOPE_UNCALIBRATED	-0.23760986	0.17654419	0.006713867
1561018017796	TYPE_ACCELEROMETER_UNCALIBRATED	-0.46420288	1.7850494	10.063019
1561018017816	TYPE_ACCELEROMETER	-0.2871399	1.9346008	9.954147
1561018017816	TYPE_MAGNETIC_FIELD	-13.38	23.1	-22.98
1561018017816	TYPE_GYROSCOPE	-0.14706421	0.0761261	0.08656311
1561018017816	TYPE_ROTATION_VECTOR	0.0756545	0.0063382867	-0.22185205
1561018017816	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-9.0	-9.479998	-163.14
1561018017816	TYPE_GYROSCOPE_UNCALIBRATED	-0.21133423	0.13682556	0.005493164
1561018017816	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3397827	1.8783722	10.041473
1561018017836	TYPE_ACCELEROMETER	-0.221344	2.108078	9.611969
