#	startTime:1561018043663
#	SiteID:5cd969be39e2fc0b4afe732d	SiteName:东方商厦(青浦店)	FloorId:5cd969c839e2fc0b4afe7eda	FloorName:B1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561018043665	TYPE_WAYPOINT	37.27813	63.49333
1561018043784	TYPE_ACCELEROMETER	-0.8386841	1.8987122	8.678772
1561018043784	TYPE_MAGNETIC_FIELD	29.22	1.38	-22.439999
1561018043784	TYPE_GYROSCOPE	0.111312866	0.31069946	0.18917847
1561018043784	TYPE_ROTATION_VECTOR	0.0086991405	0.119111314	0.56103885
1561018043784	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.6	-31.199999	-162.6
1561018043784	TYPE_GYROSCOPE_UNCALIBRATED	0.06964111	0.44960022	0.117263794
1561018043784	TYPE_ACCELEROMETER_UNCALIBRATED	-0.98464966	2.0374908	8.389236
1561018043804	TYPE_ACCELEROMETER	-1.0073853	2.1607208	8.215759
1561018043804	TYPE_MAGNETIC_FIELD	29.4	1.38	-22.26
1561018043804	TYPE_GYROSCOPE	0.20353699	0.047409058	0.21179199
1561018043804	TYPE_ROTATION_VECTOR	0.05367882	0.10380996	0.6253717
1561018043804	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.78	-31.199999	-162.42
1561018043804	TYPE_GYROSCOPE_UNCALIBRATED	0.10568237	0.35430908	0.1184845
1561018043804	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9906311	2.2588348	8.179871
1561018043824	TYPE_ACCELEROMETER	-0.96191406	2.3042908	8.222946
1561018043824	TYPE_MAGNETIC_FIELD	29.58	1.26	-22.02
1561018043824	TYPE_GYROSCOPE	0.13513184	0.12376404	0.27775574
1561018043824	TYPE_ROTATION_VECTOR	0.062592134	0.124946095	0.61606276
1561018043824	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.96	-31.319998	-162.18001
1561018043824	TYPE_GYROSCOPE_UNCALIBRATED	0.1979065	0.09101868	0.14109802
1561018043824	TYPE_ACCELEROMETER_UNCALIBRATED	-0.93200684	2.3306122	8.269608
1561018043843	TYPE_ACCELEROMETER	-0.90089417	2.3844604	8.323441
1561018043843	TYPE_MAGNETIC_FIELD	29.64	1.1999999	-21.84
1561018043843	TYPE_GYROSCOPE	0.07649231	0.12805176	0.3040161
1561018043843	TYPE_ROTATION_VECTOR	0.07200477	0.12761068	0.6080234
