#	startTime:1561018379594
#	SiteID:5cd969be39e2fc0b4afe732d	SiteName:东方商厦(青浦店)	FloorId:5cd969c839e2fc0b4afe7eda	FloorName:B1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561018379594	TYPE_WAYPOINT	54.19716	26.965374
1561018379722	TYPE_ACCELEROMETER	1.1976166	3.8859406	8.6440735
1561018379722	TYPE_MAGNETIC_FIELD	5.7	12.24	-32.579998
1561018379722	TYPE_GYROSCOPE	-0.2778015	-0.14622498	0.7890625
1561018379722	TYPE_ROTATION_VECTOR	0.21753465	-0.03140314	0.14504087
1561018379722	TYPE_MAGNETIC_FIELD_UNCALIBRATED	8.099999	-21.6	-178.5
1561018379722	TYPE_GYROSCOPE_UNCALIBRATED	-0.283432	-0.10261536	0.71836853
1561018379722	TYPE_ACCELEROMETER_UNCALIBRATED	0.8147583	3.8392792	8.325836
1561018379742	TYPE_ACCELEROMETER	0.87098694	3.826126	9.184845
1561018379742	TYPE_MAGNETIC_FIELD	4.98	12.42	-32.88
1561018379742	TYPE_GYROSCOPE	-0.65164185	-0.6474457	0.096343994
1561018379742	TYPE_ROTATION_VECTOR	0.21524821	-0.035616137	0.12839633
1561018379742	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.38	-21.42	-178.8
1561018379742	TYPE_GYROSCOPE_UNCALIBRATED	-0.65727234	-0.60383606	0.025650024
1561018379742	TYPE_ACCELEROMETER_UNCALIBRATED	1.1988068	3.8201447	8.415558
1561018379762	TYPE_ACCELEROMETER	0.5467682	3.653839	9.433701
1561018379762	TYPE_MAGNETIC_FIELD	4.56	12.66	-33.0
1561018379762	TYPE_GYROSCOPE	-0.61499023	-0.46998596	-0.1803894
1561018379762	TYPE_ROTATION_VECTOR	0.1986126	-0.024344373	0.09551376
1561018379762	TYPE_MAGNETIC_FIELD_UNCALIBRATED	6.96	-21.18	-178.92
1561018379762	TYPE_GYROSCOPE_UNCALIBRATED	-0.6206207	-0.42637634	-0.25108337
1561018379762	TYPE_ACCELEROMETER_UNCALIBRATED	1.051651	3.8727875	8.914459
1561018379781	TYPE_ACCELEROMETER	0.2967224	3.4731903	9.280563
1561018379781	TYPE_MAGNETIC_FIELD	4.08	12.84	-33.12
1561018379781	TYPE_GYROSCOPE	-0.31993103	-0.09370422	-0.1846466
1561018379781	TYPE_ROTATION_VECTOR	0.18512863	-0.012401648	0.079851985
1561018379781	TYPE_MAGNETIC_FIELD_UNCALIBRATED	6.4799995	-21.0	-179.04
1561018379781	TYPE_GYROSCOPE_UNCALIBRATED	-0.32556152	-0.050094604	-0.25534058
1561018379781	TYPE_ACCELEROMETER_UNCALIBRATED	0.6963196	3.7567444	9.378662
1561018379801	TYPE_ACCELEROMETER	0.044281006	3.3056793	9.107086
1561018379801	TYPE_MAGNETIC_FIELD	3.48	12.9	-33.42
1561018379801	TYPE_GYROSCOPE	-0.073150635	0.06756592	-0.17242432
1561018379801	TYPE_ROTATION_VECTOR	0.17874451	-0.0049566426	0.044799194
1561018379801	TYPE_MAGNETIC_FIELD_UNCALIBRATED	5.88	-20.94	-179.34
1561018379801	TYPE_GYROSCOPE_UNCALIBRATED	-0.07878113	0.11117554	-0.24311829
1561018379801	TYPE_ACCELEROMETER_UNCALIBRATED	0.42593384	3.5485535	9.378677
1561018379821	TYPE_ACCELEROMETER	0.0	3.171692	8.999405
1561018379821	TYPE_MAGNETIC_FIELD	3.48	12.9	-33.42
1561018379821	TYPE_GYROSCOPE	0.050231934	0.102386475	-0.16999817
1561018379821	TYPE_ROTATION_VECTOR	0.17874451	-0.0049566426	0.044799194
1561018379821	TYPE_MAGNETIC_FIELD_UNCALIBRATED	5.88	-20.94	-179.34
1561018379821	TYPE_GYROSCOPE_UNCALIBRATED	0.04460144	0.1459961	-0.24069214
1561018379821	TYPE_ACCELEROMETER_UNCALIBRATED	0.16751099	3.4049835	9.192032
1561018379840	TYPE_ACCELEROMETER	0.08016968	3.0939178	8.981461
1561018379840	TYPE_MAGNETIC_FIELD	3.48	12.9	-33.42
