#	startTime:1561018581920
#	SiteID:5cd969be39e2fc0b4afe732d	SiteName:东方商厦(青浦店)	FloorId:5cd969c039e2fc0b4afe7505	FloorName:F1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561018581920	TYPE_WAYPOINT	34.606953	27.315374
1561018582054	TYPE_ACCELEROMETER	-1.9286194	1.8939209	9.320053
1561018582054	TYPE_MAGNETIC_FIELD	6.7799997	18.3	-33.48
1561018582054	TYPE_GYROSCOPE	-0.4427185	-0.26350403	-1.6934662
1561018582054	TYPE_ROTATION_VECTOR	0.10863091	0.11444002	0.013342304
1561018582054	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.179999	-15.540001	-179.4
1561018582054	TYPE_GYROSCOPE_UNCALIBRATED	-0.448349	-0.21989441	-1.7641602
1561018582054	TYPE_ACCELEROMETER_UNCALIBRATED	-1.730011	1.8257294	9.3703
1561018582074	TYPE_ACCELEROMETER	-1.5098724	1.7778778	9.352356
1561018582074	TYPE_MAGNETIC_FIELD	7.08	18.359999	-33.48
1561018582074	TYPE_GYROSCOPE	-0.23991394	-0.085754395	-0.5505676
1561018582074	TYPE_ROTATION_VECTOR	0.093409866	0.10507184	0.050353874
1561018582074	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.48	-15.480001	-179.4
1561018582074	TYPE_GYROSCOPE_UNCALIBRATED	-0.24554443	-0.042144775	-0.6212616
1561018582074	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2418823	1.7671051	9.286545
1561018582094	TYPE_ACCELEROMETER	-0.95713806	1.7874451	9.181259
1561018582094	TYPE_MAGNETIC_FIELD	7.3799996	18.3	-33.78
1561018582094	TYPE_GYROSCOPE	-0.08293152	0.053527832	0.62901306
1561018582094	TYPE_ROTATION_VECTOR	0.08578211	0.08533564	0.07546614
1561018582094	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.78	-15.540001	-179.7
1561018582094	TYPE_GYROSCOPE_UNCALIBRATED	-0.08856201	0.09713745	0.5583191
1561018582094	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2418823	1.7671051	9.286545
1561018582113	TYPE_ACCELEROMETER	-0.41874695	1.8173523	8.840286
1561018582113	TYPE_MAGNETIC_FIELD	7.8599997	18.119999	-34.02
1561018582113	TYPE_GYROSCOPE	-0.109191895	0.0022125244	0.64733887
1561018582113	TYPE_ROTATION_VECTOR	0.087353215	0.06390988	0.13692796
1561018582113	TYPE_MAGNETIC_FIELD_UNCALIBRATED	10.259999	-15.720001	-179.94
1561018582113	TYPE_GYROSCOPE_UNCALIBRATED	-0.11482239	0.045822144	0.5766449
1561018582113	TYPE_ACCELEROMETER_UNCALIBRATED	-0.20339966	1.861618	8.561523
1561018582133	TYPE_ACCELEROMETER	-0.0335083	1.9537506	8.183456
1561018582133	TYPE_MAGNETIC_FIELD	8.22	18.06	-34.26
1561018582133	TYPE_GYROSCOPE	-0.10736084	-0.121780396	0.6198425
1561018582133	TYPE_ROTATION_VECTOR	0.08668644	0.06230937	0.1456315
1561018582133	TYPE_MAGNETIC_FIELD_UNCALIBRATED	10.62	-15.780001	-180.18
1561018582133	TYPE_GYROSCOPE_UNCALIBRATED	-0.11299133	-0.07817078	0.54914856
1561018582133	TYPE_ACCELEROMETER_UNCALIBRATED	0.07537842	2.0757751	7.7886505
1561018582153	TYPE_ACCELEROMETER	0.107681274	2.2241364	7.4859467
1561018582153	TYPE_MAGNETIC_FIELD	8.4	18.119999	-34.38
1561018582153	TYPE_GYROSCOPE	-0.08659363	-0.29527283	0.53370667
1561018582153	TYPE_ROTATION_VECTOR	0.08659646	0.058889892	0.15059051
1561018582153	TYPE_MAGNETIC_FIELD_UNCALIBRATED	10.799999	-15.720001	-180.3
1561018582153	TYPE_GYROSCOPE_UNCALIBRATED	-0.09222412	-0.2516632	0.4630127
1561018582153	TYPE_ACCELEROMETER_UNCALIBRATED	0.08375549	2.3533478	7.318451
1561018582172	TYPE_ACCELEROMETER	0.025131226	2.4634094	7.2634125
1561018582172	TYPE_MAGNETIC_FIELD	8.76	18.0	-34.079998
1561018582172	TYPE_GYROSCOPE	-0.08720398	-0.3716278	0.42193604
1561018582172	TYPE_ROTATION_VECTOR	0.08654776	0.054818213	0.15439847
1561018582172	TYPE_MAGNETIC_FIELD_UNCALIBRATED	11.16	-15.84	-180.0
1561018582172	TYPE_GYROSCOPE_UNCALIBRATED	-0.09283447	-0.3280182	0.35124207
1561018582172	TYPE_ACCELEROMETER_UNCALIBRATED	-0.06581116	2.5662994	7.276581
1561018582192	TYPE_ACCELEROMETER	-0.15913391	2.6273193	7.311264
1561018582192	TYPE_MAGNETIC_FIELD	9.059999	17.76	-34.02
1561018582192	TYPE_GYROSCOPE	-0.11164856	-0.26046753	0.34861755
1561018582192	TYPE_ROTATION_VECTOR	0.0860547	0.05183335	0.1575997
1561018582192	TYPE_MAGNETIC_FIELD_UNCALIBRATED	11.459999	-16.08	-179.94
1561018582192	TYPE_GYROSCOPE_UNCALIBRATED	-0.11727905	-0.21685791	0.27792358
1561018582192	TYPE_ACCELEROMETER_UNCALIBRATED	-0.24407959	2.646469	7.3256226
1561018582212	TYPE_ACCELEROMETER	-0.29910278	2.6452637	7.3579407
