#	startTime:1561018600764
#	SiteID:5cd969be39e2fc0b4afe732d	SiteName:东方商厦(青浦店)	FloorId:5cd969c039e2fc0b4afe7505	FloorName:F1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561018600765	TYPE_WAYPOINT	34.606953	27.315374
1561018600889	TYPE_ACCELEROMETER	0.7010956	2.3988037	9.437302
1561018600889	TYPE_MAGNETIC_FIELD	-9.12	-29.58	-28.5
1561018600889	TYPE_GYROSCOPE	-0.2918396	0.27954102	0.057250977
1561018600889	TYPE_ROTATION_VECTOR	-0.023983609	-0.12555729	-0.9790637
1561018600889	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-6.7200003	-63.42	-174.42
1561018600889	TYPE_GYROSCOPE_UNCALIBRATED	-0.500885	0.43859863	-0.014663696
1561018600889	TYPE_ACCELEROMETER_UNCALIBRATED	0.7010956	2.3988037	9.437302
1561018600909	TYPE_ACCELEROMETER	0.58026123	2.3940277	9.32843
1561018600909	TYPE_MAGNETIC_FIELD	-9.24	-30.0	-28.5
1561018600909	TYPE_GYROSCOPE	-0.10920715	0.12072754	0.07191467
1561018600909	TYPE_ROTATION_VECTOR	-0.017564645	-0.12761505	-0.98119175
1561018600909	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-6.84	-63.84	-174.42
1561018600909	TYPE_GYROSCOPE_UNCALIBRATED	-0.2974701	0.32315063	-0.013442993
1561018600909	TYPE_ACCELEROMETER_UNCALIBRATED	0.58026123	2.3940277	9.32843
1561018600929	TYPE_ACCELEROMETER	0.6233368	2.3533478	9.315262
1561018600929	TYPE_MAGNETIC_FIELD	-9.24	-30.3	-28.859999
1561018600929	TYPE_GYROSCOPE	-0.15745544	0.09750366	0.09083557
1561018600929	TYPE_ROTATION_VECTOR	-0.012757147	-0.12721972	-0.9826541
1561018600929	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-6.84	-64.14	-174.78
1561018600929	TYPE_GYROSCOPE_UNCALIBRATED	-0.16308594	0.14111328	0.020141602
1561018600929	TYPE_ACCELEROMETER_UNCALIBRATED	0.6233368	2.3533478	9.315262
1561018600948	TYPE_ACCELEROMETER	0.64009094	2.3042908	9.476776
1561018600948	TYPE_MAGNETIC_FIELD	-9.54	-30.539999	-29.16
1561018600948	TYPE_GYROSCOPE	-0.17883301	0.14331055	0.09146118
1561018600948	TYPE_ROTATION_VECTOR	-0.010130904	-0.1264881	-0.97648746
1561018600948	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.1400003	-64.38	-175.08
1561018600948	TYPE_GYROSCOPE_UNCALIBRATED	-0.1844635	0.18692017	0.020767212
1561018600948	TYPE_ACCELEROMETER_UNCALIBRATED	0.64009094	2.3042908	9.476776
1561018600968	TYPE_ACCELEROMETER	0.48095703	2.292328	9.504288
1561018600968	TYPE_MAGNETIC_FIELD	-9.719999	-30.599998	-29.4
1561018600968	TYPE_GYROSCOPE	-0.15379333	0.23005676	0.09573364
1561018600968	TYPE_ROTATION_VECTOR	-0.011578494	-0.12245601	-0.9787623
1561018600968	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.3199997	-64.44	-175.31999
1561018600968	TYPE_GYROSCOPE_UNCALIBRATED	-0.15942383	0.27366638	0.025039673
1561018600968	TYPE_ACCELEROMETER_UNCALIBRATED	0.48095703	2.292328	9.504288
1561018600988	TYPE_ACCELEROMETER	0.33261108	2.2863464	9.43251
1561018600988	TYPE_MAGNETIC_FIELD	-10.0199995	-30.84	-29.699999
1561018600988	TYPE_GYROSCOPE	-0.13606262	0.21905518	0.10305786
1561018600988	TYPE_ROTATION_VECTOR	8.283991E-4	-0.11905888	-0.9777754
1561018600988	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.62	-64.68	-175.62
1561018600988	TYPE_GYROSCOPE_UNCALIBRATED	-0.14169312	0.2626648	0.03236389
1561018600988	TYPE_ACCELEROMETER_UNCALIBRATED	0.33261108	2.2863464	9.43251
1561018601007	TYPE_ACCELEROMETER	0.41874695	2.3031006	9.22673
1561018601007	TYPE_MAGNETIC_FIELD	-10.2	-31.08	-30.06
1561018601007	TYPE_GYROSCOPE	-0.14585876	0.14454651	0.09388733
1561018601007	TYPE_ROTATION_VECTOR	0.0027813083	-0.11728647	-0.9777651
1561018601007	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.8	-64.92	-175.98
1561018601007	TYPE_GYROSCOPE_UNCALIBRATED	-0.14169312	0.2626648	0.03236389
1561018601007	TYPE_ACCELEROMETER_UNCALIBRATED	0.41874695	2.3031006	9.22673
1561018601027	TYPE_ACCELEROMETER	0.48454285	2.354538	9.065216
1561018601027	TYPE_MAGNETIC_FIELD	-9.84	-30.9	-30.119999
1561018601027	TYPE_GYROSCOPE	-0.17089844	0.09750366	0.0657959
1561018601027	TYPE_ROTATION_VECTOR	0.0041779466	-0.115661144	-0.97774154
1561018601027	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.4400005	-64.74	-176.04
1561018601027	TYPE_GYROSCOPE_UNCALIBRATED	-0.17652893	0.14111328	-0.0048980713
1561018601027	TYPE_ACCELEROMETER_UNCALIBRATED	0.48454285	2.354538	9.065216
1561018601047	TYPE_ACCELEROMETER	0.5587311	2.416748	8.907288
