#	startTime:1561018638823
#	SiteID:5cd969be39e2fc0b4afe732d	SiteName:东方商厦(青浦店)	FloorId:5cd969c039e2fc0b4afe7505	FloorName:F1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561018638824	TYPE_WAYPOINT	32.893898	5.815617
1561018638937	TYPE_ACCELEROMETER	-0.22015381	1.9202423	9.866806
1561018638937	TYPE_MAGNETIC_FIELD	-2.04	22.439999	-18.48
1561018638937	TYPE_GYROSCOPE	0.07557678	-0.113845825	-0.9610443
1561018638937	TYPE_ROTATION_VECTOR	0.088200405	0.0054803826	-0.055576168
1561018638937	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.3599999	-11.400002	-164.4
1561018638937	TYPE_GYROSCOPE_UNCALIBRATED	0.08428955	-0.1539154	-1.4379578
1561018638937	TYPE_ACCELEROMETER_UNCALIBRATED	-0.22972107	1.8460693	10.338196
1561018638957	TYPE_ACCELEROMETER	-0.2093811	1.9728851	9.561722
1561018638957	TYPE_MAGNETIC_FIELD	-2.04	22.439999	-18.48
1561018638957	TYPE_GYROSCOPE	0.025177002	0.1091156	0.25637817
1561018638957	TYPE_ROTATION_VECTOR	0.088200405	0.0054803826	-0.055576168
1561018638957	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.3599999	-11.400002	-164.4
1561018638957	TYPE_GYROSCOPE_UNCALIBRATED	0.06994629	-0.070236206	-1.0317383
1561018638957	TYPE_ACCELEROMETER_UNCALIBRATED	-0.2093811	1.9728851	9.561722
1561018638977	TYPE_ACCELEROMETER	-0.19740295	1.9884338	9.506683
1561018638977	TYPE_MAGNETIC_FIELD	-2.04	22.439999	-18.48
1561018638977	TYPE_GYROSCOPE	-0.005355835	0.02420044	0.25332642
1561018638977	TYPE_ROTATION_VECTOR	0.088200405	0.0054803826	-0.055576168
1561018638977	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.3599999	-11.400002	-164.4
1561018638977	TYPE_GYROSCOPE_UNCALIBRATED	-0.010986328	0.06781006	0.18263245
1561018638977	TYPE_ACCELEROMETER_UNCALIBRATED	-0.19740295	1.9884338	9.506683
1561018638996	TYPE_ACCELEROMETER	-0.093322754	1.9980164	9.509079
1561018638996	TYPE_MAGNETIC_FIELD	-2.1	22.26	-18.72
1561018638996	TYPE_GYROSCOPE	-0.008407593	0.04008484	0.2631073
1561018638996	TYPE_ROTATION_VECTOR	0.102356814	0.003906494	-0.054365467
1561018638996	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.29999995	-11.58	-164.64
1561018638996	TYPE_GYROSCOPE_UNCALIBRATED	-0.010986328	0.06781006	0.18263245
1561018638996	TYPE_ACCELEROMETER_UNCALIBRATED	-0.093322754	1.9980164	9.509079
1561018639016	TYPE_ACCELEROMETER	-0.0071868896	2.0219421	9.385849
1561018639016	TYPE_MAGNETIC_FIELD	-2.28	22.02	-18.72
1561018639016	TYPE_GYROSCOPE	0.003189087	0.07550049	0.26615906
1561018639016	TYPE_ROTATION_VECTOR	0.10237386	-0.0035154212	-0.062894486
1561018639016	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.119999886	-11.82	-164.64
1561018639016	TYPE_GYROSCOPE_UNCALIBRATED	-0.014038086	0.08369446	0.19241333
1561018639016	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0071868896	2.0219421	9.385849
1561018639036	TYPE_ACCELEROMETER	0.061019897	2.0686035	9.287735
1561018639036	TYPE_MAGNETIC_FIELD	-2.34	21.96	-18.6
1561018639036	TYPE_GYROSCOPE	-0.015731812	0.04069519	0.25700378
1561018639036	TYPE_ROTATION_VECTOR	0.10588777	-0.00406325	-0.04902856
1561018639036	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.059999943	-11.880001	-164.52
1561018639036	TYPE_GYROSCOPE_UNCALIBRATED	-0.0024414062	0.11911011	0.19546509
1561018639036	TYPE_ACCELEROMETER_UNCALIBRATED	0.061019897	2.0686035	9.287735
1561018639055	TYPE_ACCELEROMETER	0.100494385	2.120041	9.375076
1561018639055	TYPE_MAGNETIC_FIELD	-2.28	21.96	-18.66
1561018639055	TYPE_GYROSCOPE	-0.049331665	0.005264282	0.2502594
1561018639055	TYPE_ROTATION_VECTOR	0.10791142	-0.007808989	-0.045841996
1561018639055	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.119999886	-11.880001	-164.58
1561018639055	TYPE_GYROSCOPE_UNCALIBRATED	-0.021362305	0.08430481	0.18630981
1561018639055	TYPE_ACCELEROMETER_UNCALIBRATED	0.100494385	2.120041	9.375076
1561018639075	TYPE_ACCELEROMETER	0.12802124	2.1343994	9.456436
1561018639075	TYPE_MAGNETIC_FIELD	-2.34	21.96	-18.66
1561018639075	TYPE_GYROSCOPE	-0.05543518	0.023590088	0.25881958
1561018639075	TYPE_ROTATION_VECTOR	0.10791293	-0.007439444	-0.04322422
1561018639075	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.059999943	-11.880001	-164.58
1561018639075	TYPE_GYROSCOPE_UNCALIBRATED	-0.061065674	0.06719971	0.18812561
1561018639075	TYPE_ACCELEROMETER_UNCALIBRATED	0.12802124	2.1343994	9.456436
1561018639095	TYPE_ACCELEROMETER	0.13520813	2.0937195	9.482758
1561018639095	TYPE_MAGNETIC_FIELD	-2.3999999	21.359999	-18.72
1561018639095	TYPE_GYROSCOPE	-0.053604126	0.0602417	0.26860046
1561018639095	TYPE_ROTATION_VECTOR	0.1070102	-0.0076945648	-0.038284034
1561018639095	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.0	-12.480001	-164.64
1561018639095	TYPE_GYROSCOPE_UNCALIBRATED	-0.05923462	0.10385132	0.1979065
1561018639095	TYPE_ACCELEROMETER_UNCALIBRATED	0.13520813	2.0937195	9.482758
1561018639114	TYPE_ACCELEROMETER	0.17468262	2.0614166	9.517456
1561018639114	TYPE_MAGNETIC_FIELD	-2.34	21.119999	-18.72
1561018639114	TYPE_GYROSCOPE	-0.07009888	0.06451416	0.2679901
1561018639114	TYPE_ROTATION_VECTOR	0.10647765	-0.007522118	-0.03565955
1561018639114	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.059999943	-12.720001	-164.64
1561018639114	TYPE_GYROSCOPE_UNCALIBRATED	-0.05923462	0.10385132	0.1979065
1561018639114	TYPE_ACCELEROMETER_UNCALIBRATED	0.17468262	2.0614166	9.517456
1561018639134	TYPE_ACCELEROMETER	0.21177673	2.0159607	9.69931
1561018639134	TYPE_MAGNETIC_FIELD	-2.28	21.24	-18.42
1561018639134	TYPE_GYROSCOPE	-0.09147644	0.05291748	0.25759888
1561018639134	TYPE_ROTATION_VECTOR	0.105905	-0.007130779	-0.032969218
1561018639134	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.119999886	-12.6	-164.34
1561018639134	TYPE_GYROSCOPE_UNCALIBRATED	-0.07572937	0.10812378	0.19729614
1561018639134	TYPE_ACCELEROMETER_UNCALIBRATED	0.21177673	2.0159607	9.69931
1561018639154	TYPE_ACCELEROMETER	0.1375885	1.9752808	9.806992
1561018639154	TYPE_MAGNETIC_FIELD	-1.9799999	21.119999	-18.42
1561018639154	TYPE_GYROSCOPE	-0.09025574	0.029693604	0.23928833
1561018639154	TYPE_ROTATION_VECTOR	0.10510412	-0.006791792	-0.030328266
1561018639154	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.41999996	-12.720001	-164.34
1561018639154	TYPE_GYROSCOPE_UNCALIBRATED	-0.09710693	0.0965271	0.1869049
1561018639154	TYPE_ACCELEROMETER_UNCALIBRATED	0.1375885	1.9752808	9.806992
1561018639173	TYPE_ACCELEROMETER	0.0382843	1.931015	9.918259
1561018639173	TYPE_MAGNETIC_FIELD	-1.62	21.119999	-18.66
1561018639173	TYPE_GYROSCOPE	-0.081100464	0.047409058	0.23866272
1561018639173	TYPE_ROTATION_VECTOR	0.104188934	-0.006644617	-0.02788247
1561018639173	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.77999985	-12.720001	-164.58
1561018639173	TYPE_GYROSCOPE_UNCALIBRATED	-0.08673096	0.09101868	0.16796875
1561018639173	TYPE_ACCELEROMETER_UNCALIBRATED	0.0382843	1.931015	9.918259
1561018639193	TYPE_ACCELEROMETER	0.08615112	1.8891296	9.932617
1561018639193	TYPE_MAGNETIC_FIELD	-1.4399999	21.06	-18.42
1561018639193	TYPE_GYROSCOPE	-0.07131958	0.034591675	0.24356079
1561018639193	TYPE_ROTATION_VECTOR	0.103344	-0.0064966884	-0.025539009
1561018639193	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.9599999	-12.780001	-164.34
1561018639193	TYPE_GYROSCOPE_UNCALIBRATED	-0.07695007	0.078201294	0.17286682
1561018639193	TYPE_ACCELEROMETER_UNCALIBRATED	0.08615112	1.8891296	9.932617
1561018639213	TYPE_ACCELEROMETER	0.18664551	1.8712006	9.894318
1561018639213	TYPE_MAGNETIC_FIELD	-1.4399999	21.0	-18.359999
1561018639213	TYPE_GYROSCOPE	-0.062164307	0.018081665	0.23500061
1561018639213	TYPE_ROTATION_VECTOR	0.10259525	-0.006289632	-0.023140794
1561018639213	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.9599999	-12.84	-164.28
1561018639213	TYPE_GYROSCOPE_UNCALIBRATED	-0.0677948	0.061691284	0.16430664
1561018639213	TYPE_ACCELEROMETER_UNCALIBRATED	0.18664551	1.8712006	9.894318
1561018639232	TYPE_ACCELEROMETER	0.21536255	1.9070892	9.851257
1561018639232	TYPE_MAGNETIC_FIELD	-1.14	21.119999	-18.18
1561018639232	TYPE_GYROSCOPE	-0.044448853	0.0052490234	0.21118164
1561018639232	TYPE_ROTATION_VECTOR	0.10193106	-0.0062629688	-0.020759689
1561018639232	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.2599999	-12.720001	-164.1
1561018639232	TYPE_GYROSCOPE_UNCALIBRATED	-0.0677948	0.061691284	0.16430664
1561018639232	TYPE_ACCELEROMETER_UNCALIBRATED	0.21536255	1.9070892	9.851257
1561018639252	TYPE_ACCELEROMETER	0.2476654	2.0111694	9.687347
1561018639252	TYPE_MAGNETIC_FIELD	-1.0799999	21.42	-18.119999
1561018639252	TYPE_GYROSCOPE	-0.020004272	0.007095337	0.18919373
1561018639252	TYPE_ROTATION_VECTOR	0.10138308	-0.006376261	-0.018565519
1561018639252	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.3199999	-12.42	-164.04
1561018639252	TYPE_GYROSCOPE_UNCALIBRATED	-0.050079346	0.048858643	0.14048767
1561018639252	TYPE_ACCELEROMETER_UNCALIBRATED	0.2476654	2.0111694	9.687347
1561018639272	TYPE_ACCELEROMETER	0.1938324	2.094925	9.482758
1561018639272	TYPE_MAGNETIC_FIELD	-1.0799999	21.66	-18.0
1561018639272	TYPE_GYROSCOPE	-0.013916016	0.002822876	0.17575073
1561018639272	TYPE_ROTATION_VECTOR	0.10106728	-0.0065187435	-0.016607212
1561018639272	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.3199999	-12.18	-163.92
1561018639272	TYPE_GYROSCOPE_UNCALIBRATED	-0.019546509	0.046432495	0.10505676
1561018639272	TYPE_ACCELEROMETER_UNCALIBRATED	0.1938324	2.094925	9.482758
1561018639291	TYPE_ACCELEROMETER	0.14596558	2.1308136	9.339188
1561018639291	TYPE_MAGNETIC_FIELD	-0.9	21.72	-18.06
1561018639291	TYPE_GYROSCOPE	-0.05178833	0.051071167	0.18063354
1561018639291	TYPE_ROTATION_VECTOR	0.10091412	-0.006666612	-0.014853003
1561018639291	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.4999999	-12.120001	-163.98
1561018639291	TYPE_GYROSCOPE_UNCALIBRATED	-0.019546509	0.046432495	0.10505676
1561018639291	TYPE_ACCELEROMETER_UNCALIBRATED	0.14596558	2.1308136	9.339188
1561018639311	TYPE_ACCELEROMETER	0.18545532	2.0817566	9.456436
1561018639311	TYPE_MAGNETIC_FIELD	-0.9	22.02	-18.119999
1561018639311	TYPE_GYROSCOPE	-0.11103821	0.070007324	0.19529724
1561018639311	TYPE_ROTATION_VECTOR	0.10065807	-0.006616034	-0.013104752
1561018639311	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.4999999	-11.82	-164.04
1561018639311	TYPE_GYROSCOPE_UNCALIBRATED	-0.057418823	0.094680786	0.109939575
1561018639311	TYPE_ACCELEROMETER_UNCALIBRATED	0.18545532	2.0817566	9.456436
1561018639331	TYPE_ACCELEROMETER	0.41993713	2.0243378	9.614365
1561018639331	TYPE_MAGNETIC_FIELD	-1.02	22.02	-18.0
1561018639331	TYPE_GYROSCOPE	-0.15318298	0.026641846	0.184906
1561018639331	TYPE_ROTATION_VECTOR	0.09985445	-0.0061213113	-0.01121408
1561018639331	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.3799999	-11.82	-163.92
1561018639331	TYPE_GYROSCOPE_UNCALIBRATED	-0.1166687	0.11361694	0.12460327
1561018639331	TYPE_ACCELEROMETER_UNCALIBRATED	0.41993713	2.0243378	9.614365
1561018639351	TYPE_ACCELEROMETER	0.6352997	2.0650024	9.650269
1561018639351	TYPE_MAGNETIC_FIELD	-1.0799999	22.02	-18.119999
1561018639351	TYPE_GYROSCOPE	-0.13363647	-0.03565979	0.13665771
1561018639351	TYPE_ROTATION_VECTOR	0.09852294	-0.0057692872	-0.009256467
1561018639351	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.3199999	-11.82	-164.04
1561018639351	TYPE_GYROSCOPE_UNCALIBRATED	-0.15881348	0.070251465	0.114212036
1561018639351	TYPE_ACCELEROMETER_UNCALIBRATED	0.6352997	2.0650024	9.650269
1561018639370	TYPE_ACCELEROMETER	0.68196106	2.206192	9.359528
1561018639370	TYPE_MAGNETIC_FIELD	-1.02	22.199999	-18.3
1561018639370	TYPE_GYROSCOPE	-0.06399536	-0.041778564	0.08534241
1561018639370	TYPE_ROTATION_VECTOR	0.097006135	-0.0059683532	-0.0076652886
1561018639370	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.3799999	-11.640001	-164.22
1561018639370	TYPE_GYROSCOPE_UNCALIBRATED	-0.069625854	0.0018310547	0.0146484375
1561018639370	TYPE_ACCELEROMETER_UNCALIBRATED	0.68196106	2.206192	9.359528
1561018639390	TYPE_ACCELEROMETER	0.6879425	2.3042908	9.043671
1561018639390	TYPE_MAGNETIC_FIELD	-0.9	22.199999	-18.66
1561018639390	TYPE_GYROSCOPE	-0.01878357	0.029693604	0.062149048
1561018639390	TYPE_ROTATION_VECTOR	0.09602259	-0.0065620854	-0.0066560837
1561018639390	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.4999999	-11.640001	-164.58
1561018639390	TYPE_GYROSCOPE_UNCALIBRATED	-0.024414062	0.07330322	-0.008544922
1561018639390	TYPE_ACCELEROMETER_UNCALIBRATED	0.6879425	2.3042908	9.043671
1561018639410	TYPE_ACCELEROMETER	0.82432556	2.3976135	8.999405
1561018639410	TYPE_MAGNETIC_FIELD	-1.02	22.32	-18.66
1561018639410	TYPE_GYROSCOPE	-0.026733398	0.11155701	0.048706055
1561018639410	TYPE_ROTATION_VECTOR	0.09567168	-0.006741073	-0.0059828665
1561018639410	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.3799999	-11.52	-164.58
1561018639410	TYPE_GYROSCOPE_UNCALIBRATED	-0.03236389	0.15516663	-0.021987915
1561018639410	TYPE_ACCELEROMETER_UNCALIBRATED	0.82432556	2.3976135	8.999405
1561018639429	TYPE_ACCELEROMETER	0.84347534	2.4825592	9.324829
1561018639429	TYPE_MAGNETIC_FIELD	-0.59999996	22.32	-18.779999
1561018639429	TYPE_GYROSCOPE	-0.057281494	0.17448425	0.016326904
1561018639429	TYPE_ROTATION_VECTOR	0.09550889	-0.006094004	-0.0053562424
1561018639429	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.8	-11.52	-164.7
1561018639429	TYPE_GYROSCOPE_UNCALIBRATED	-0.03236389	0.15516663	-0.021987915
1561018639429	TYPE_ACCELEROMETER_UNCALIBRATED	0.84347534	2.4825592	9.324829
1561018639449	TYPE_ACCELEROMETER	0.63409424	2.6129608	9.652649
1561018639449	TYPE_MAGNETIC_FIELD	-0.53999996	22.14	-18.66
1561018639449	TYPE_GYROSCOPE	-0.077438354	0.21968079	-0.010559082
1561018639449	TYPE_ROTATION_VECTOR	0.09510293	-0.0047074165	-0.0048881453
1561018639449	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.8599999	-11.700001	-164.58
1561018639449	TYPE_GYROSCOPE_UNCALIBRATED	-0.08306885	0.2632904	-0.08125305
1561018639449	TYPE_ACCELEROMETER_UNCALIBRATED	0.63409424	2.6129608	9.652649
1561018639469	TYPE_ACCELEROMETER	0.40438843	2.7050934	9.98526
1561018639469	TYPE_MAGNETIC_FIELD	-0.53999996	21.96	-18.42
1561018639469	TYPE_GYROSCOPE	-0.101867676	0.23800659	0.0028839111
1561018639469	TYPE_ROTATION_VECTOR	0.09445632	-0.00276639	-0.004711297
1561018639469	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.8599999	-11.880001	-164.34
1561018639469	TYPE_GYROSCOPE_UNCALIBRATED	-0.10749817	0.2816162	-0.06781006
1561018639469	TYPE_ACCELEROMETER_UNCALIBRATED	0.40438843	2.7050934	9.98526
1561018639488	TYPE_ACCELEROMETER	0.25723267	2.7086792	10.258041
1561018639488	TYPE_MAGNETIC_FIELD	-0.53999996	22.14	-18.42
1561018639488	TYPE_GYROSCOPE	-0.13790894	0.1940155	0.03465271
1561018639488	TYPE_ROTATION_VECTOR	0.09360889	-4.6353578E-4	-0.004575209
1561018639488	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.8599999	-11.700001	-164.34
1561018639488	TYPE_GYROSCOPE_UNCALIBRATED	-0.14353943	0.23762512	-0.03604126
1561018639488	TYPE_ACCELEROMETER_UNCALIBRATED	0.25723267	2.7086792	10.258041
1561018639508	TYPE_ACCELEROMETER	0.279953	2.6632233	10.514069
1561018639508	TYPE_MAGNETIC_FIELD	-0.53999996	22.14	-18.42
1561018639508	TYPE_GYROSCOPE	-0.17579651	0.094451904	0.0670166
1561018639508	TYPE_ROTATION_VECTOR	0.092474535	0.0017074605	-0.0042001633
1561018639508	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.8599999	-11.700001	-164.34
1561018639508	TYPE_GYROSCOPE_UNCALIBRATED	-0.181427	0.13806152	-0.0036773682
1561018639508	TYPE_ACCELEROMETER_UNCALIBRATED	0.279953	2.6632233	10.514069
1561018639528	TYPE_ACCELEROMETER	0.46540833	2.6799622	10.645676
1561018639528	TYPE_MAGNETIC_FIELD	-0.29999998	22.02	-18.3
1561018639528	TYPE_GYROSCOPE	-0.17028809	-0.0521698	0.07923889
1561018639528	TYPE_ROTATION_VECTOR	0.09092606	0.0031467844	-0.003549569
1561018639528	TYPE_MAGNETIC_FIELD_UNCALIBRATED	2.1	-11.82	-164.22
1561018639528	TYPE_GYROSCOPE_UNCALIBRATED	-0.17591858	-0.008560181	0.008544922
1561018639528	TYPE_ACCELEROMETER_UNCALIBRATED	0.46540833	2.6799622	10.645676
1561018639547	TYPE_ACCELEROMETER	0.67118835	2.715866	10.371689
1561018639547	TYPE_MAGNETIC_FIELD	-0.17999999	21.96	-17.82
1561018639547	TYPE_GYROSCOPE	-0.07865906	-0.21096802	0.057861328
1561018639547	TYPE_ROTATION_VECTOR	0.08916351	0.003336491	-0.0027705873
1561018639547	TYPE_MAGNETIC_FIELD_UNCALIBRATED	2.2199998	-11.880001	-163.73999
1561018639547	TYPE_GYROSCOPE_UNCALIBRATED	-0.08428955	-0.1673584	-0.012832642
1561018639547	TYPE_ACCELEROMETER_UNCALIBRATED	0.67118835	2.715866	10.371689
1561018639589	TYPE_WIFI	a690f3d5b8e78da2d1b130ad7d04b1483ea2614b	5e1232ff119adff52b45ef6227ced7c7cb645680	-84	2412	1561018622333
1561018639589	TYPE_WIFI	7ab969ea3297d11c7de18b9f00673fd9999b5c45	5caee0c660a5a18185dbc56d1d9718e0c915dd3e	-63	2432	1561018636178
1561018639589	TYPE_WIFI	c07fe9a922617c5f86351774b3b6248813498d0d	cb421f8b1dc0d4c8d1132d1c9876a73606bcaf9a	-77	2462	1561018631384
1561018639589	TYPE_WIFI	c300ddd19734ab11c56dd8ff47d1542e5156ef38	364c012c00373b916400da1043ebeb4c586abdbf	-69	2447	1561018639088
1561018639589	TYPE_WIFI	5e47f05f6480ad6c0e6b497a5c4fba4c20ccddac	69b8d5be1f9c512d555b3bf3f4283aa3edc767b9	-89	5785	1561018635346
1561018639589	TYPE_WIFI	115983c85fa8d367e19cf02f7b4e1b45a0ca51d4	93cd673475d5e7fc3f0562b8c6730e29af8dc55e	-91	5785	1561018633208
1561018639589	TYPE_WIFI	bff1bb8e26d76f03dd42efd5f21a8ee92b741474	ecdc7304d98b593a9fd717381ecd6277c5fe181e	-92	5785	1561018636130
1561018639589	TYPE_WIFI	5e47f05f6480ad6c0e6b497a5c4fba4c20ccddac	2e90d0fe95962c19acb6e24f46c7db9294140923	-91	5785	1561018613561
1561018639589	TYPE_WIFI	115983c85fa8d367e19cf02f7b4e1b45a0ca51d4	e3d2c58e9654ab88f86f3de094a343487361bcc0	-92	5785	1561018627503
1561018639589	TYPE_WIFI	bff1bb8e26d76f03dd42efd5f21a8ee92b741474	b5b6a625993d8786f1d4f56ddefb4a7e466bc485	-91	5785	1561018628254
1561018639589	TYPE_WIFI	eb505ec78206ba9cd89ed9b9afad6fcffd39a3c6	229f8354508f7b42fd093645044a25f76697106d	-39	2422	1561018638979
1561018639589	TYPE_WIFI	66060f56d5ac733fcafba3345f34304d860ad1c6	f0bce44aa62ad377cae49255d6609f10b7780319	-78	2427	1561018631816
1561018639589	TYPE_WIFI	7e49af1f42bf0772a8aec42c677458af546a8040	777424553b45d33b4ff27e7d9eb55756d2c96eac	-74	2452	1561018634866
1561018639589	TYPE_WIFI	c07fe9a922617c5f86351774b3b6248813498d0d	8e908422fd161afa26562e3a6bbf3d31a49734ab	-56	2462	1561018635693
1561018639589	TYPE_WIFI	02ac5d18d1f304072726ff7a3a7dd8e31b7f46c3	ecf2a31c61a6bdad23989d761569f3a55c0b8718	-80	2412	1561018630982
1561018639589	TYPE_WIFI	115983c85fa8d367e19cf02f7b4e1b45a0ca51d4	07eabaf3b3aab302ff4651c1405ad14bd702d06f	-75	2437	1561018634023
1561018639589	TYPE_WIFI	bff1bb8e26d76f03dd42efd5f21a8ee92b741474	42a18bdfb2bd09b9a8d2e37100f435afa6c519f5	-72	2437	1561018635479
1561018639589	TYPE_WIFI	c07fe9a922617c5f86351774b3b6248813498d0d	5daebe9dd2519e822bae3bfdaf8f4d7a5a19c891	-77	2437	1561018633365
