#	startTime:1561018688670
#	SiteID:5cd969be39e2fc0b4afe732d	SiteName:东方商厦(青浦店)	FloorId:5cd969c039e2fc0b4afe7505	FloorName:F1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561018688670	TYPE_WAYPOINT	9.533728	16.970997
1561018688782	TYPE_ACCELEROMETER	0.80877686	3.377472	9.163315
1561018688782	TYPE_MAGNETIC_FIELD	-40.92	14.88	-10.74
1561018688782	TYPE_GYROSCOPE	0.0019836426	-0.1401062	0.6595459
1561018688782	TYPE_ROTATION_VECTOR	0.10427706	-0.11626063	-0.5293662
1561018688782	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.8	-11.339999	-161.04001
1561018688782	TYPE_GYROSCOPE_UNCALIBRATED	-0.0036468506	-0.09649658	0.5888519
1561018688782	TYPE_ACCELEROMETER_UNCALIBRATED	0.80877686	3.377472	9.163315
1561018688802	TYPE_ACCELEROMETER	0.727417	3.4253235	8.718262
1561018688802	TYPE_MAGNETIC_FIELD	-40.86	15.0	-10.74
1561018688802	TYPE_GYROSCOPE	-4.7302246E-4	0.67111206	0.8018799
1561018688802	TYPE_ROTATION_VECTOR	0.12581876	-0.12794018	-0.52187955
1561018688802	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.740002	-11.219999	-161.04001
1561018688802	TYPE_GYROSCOPE_UNCALIBRATED	-0.0036468506	-0.09649658	0.5888519
1561018688802	TYPE_ACCELEROMETER_UNCALIBRATED	0.727417	3.4253235	8.718262
1561018688822	TYPE_ACCELEROMETER	0.96551514	3.4013977	8.867798
1561018688822	TYPE_MAGNETIC_FIELD	-40.62	15.179999	-10.92
1561018688822	TYPE_GYROSCOPE	-0.22343445	0.56785583	0.9252777
1561018688822	TYPE_ROTATION_VECTOR	0.1377956	-0.12997177	-0.5121624
1561018688822	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.5	-11.04	-161.22
1561018688822	TYPE_GYROSCOPE_UNCALIBRATED	0.019561768	0.3097229	0.64382935
1561018688822	TYPE_ACCELEROMETER_UNCALIBRATED	0.727417	3.4253235	8.718262
1561018688841	TYPE_ACCELEROMETER	1.4596252	3.2482605	9.448059
1561018688841	TYPE_MAGNETIC_FIELD	-40.14	15.48	-11.28
1561018688841	TYPE_GYROSCOPE	-0.4213562	0.3436737	0.9820862
1561018688841	TYPE_ROTATION_VECTOR	0.13246046	-0.1335427	-0.48425415
1561018688841	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.02	-10.74	-161.58
1561018688841	TYPE_GYROSCOPE_UNCALIBRATED	-0.11177063	0.68478394	0.7959442
1561018688841	TYPE_ACCELEROMETER_UNCALIBRATED	0.96551514	3.4013977	8.867798
1561018688861	TYPE_ACCELEROMETER	1.7970123	3.1573334	9.7986145
1561018688861	TYPE_MAGNETIC_FIELD	-39.84	15.78	-11.5199995
1561018688861	TYPE_GYROSCOPE	-0.436615	0.09750366	0.95581055
1561018688861	TYPE_ROTATION_VECTOR	0.10451192	-0.14509113	-0.49099436
1561018688861	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-18.720001	-10.44	-161.82
1561018688861	TYPE_GYROSCOPE_UNCALIBRATED	-0.34268188	0.5112915	0.8955078
1561018688861	TYPE_ACCELEROMETER_UNCALIBRATED	1.7970123	3.1573334	9.7986145
1561018688881	TYPE_ACCELEROMETER	1.7013092	3.1824646	9.600006
1561018688881	TYPE_MAGNETIC_FIELD	-39.36	16.08	-11.639999
1561018688881	TYPE_GYROSCOPE	-0.30955505	0.0028076172	0.9081726
1561018688881	TYPE_ROTATION_VECTOR	0.09028389	-0.15116021	-0.4871077
1561018688881	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-18.240002	-10.139999	-161.94
1561018688881	TYPE_GYROSCOPE_UNCALIBRATED	-0.4599762	0.25289917	0.9052887
1561018688881	TYPE_ACCELEROMETER_UNCALIBRATED	1.7013092	3.1824646	9.600006
1561018688900	TYPE_ACCELEROMETER	1.5218353	3.2303162	9.1944275
1561018688900	TYPE_MAGNETIC_FIELD	-38.76	16.44	-11.7
1561018688900	TYPE_GYROSCOPE	-0.17883301	0.054122925	0.90512085
1561018688900	TYPE_ROTATION_VECTOR	0.09272816	-0.14987244	-0.4830056
1561018688900	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-17.64	-9.779999	-162.0
1561018688900	TYPE_GYROSCOPE_UNCALIBRATED	-0.38787842	0.07147217	0.85824585
1561018688900	TYPE_ACCELEROMETER_UNCALIBRATED	1.5218353	3.2303162	9.1944275
1561018688920	TYPE_ACCELEROMETER	1.3698883	3.1609192	8.983856
1561018688920	TYPE_MAGNETIC_FIELD	-38.1	16.8	-11.82
1561018688920	TYPE_GYROSCOPE	-0.12875366	0.13352966	0.9203949
1561018688920	TYPE_ROTATION_VECTOR	0.088799104	-0.14919466	-0.47579584
1561018688920	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-16.98	-9.42	-162.12
1561018688920	TYPE_GYROSCOPE_UNCALIBRATED	-0.24310303	0.06047058	0.8307495
1561018688920	TYPE_ACCELEROMETER_UNCALIBRATED	1.3698883	3.1609192	8.983856
1561018688940	TYPE_ACCELEROMETER	1.2993011	3.049652	9.066406
1561018688940	TYPE_MAGNETIC_FIELD	-37.26	17.34	-11.639999
1561018688940	TYPE_GYROSCOPE	-0.13485718	0.15919495	0.934433
1561018688940	TYPE_ROTATION_VECTOR	0.08620255	-0.14868301	-0.46833485
1561018688940	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-16.14	-8.879999	-161.94
1561018688940	TYPE_GYROSCOPE_UNCALIBRATED	-0.1484375	0.14048767	0.8417511
1561018688940	TYPE_ACCELEROMETER_UNCALIBRATED	1.2993011	3.049652	9.066406
1561018688959	TYPE_ACCELEROMETER	1.2514496	2.889328	9.174088
1561018688959	TYPE_MAGNETIC_FIELD	-36.36	17.64	-11.5199995
1561018688959	TYPE_GYROSCOPE	-0.14830017	0.12742615	0.9155121
1561018688959	TYPE_ROTATION_VECTOR	0.084371224	-0.14773007	-0.46056437
1561018688959	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.240002	-8.58	-161.82
1561018688959	TYPE_GYROSCOPE_UNCALIBRATED	-0.13438416	0.19914246	0.85824585
1561018688959	TYPE_ACCELEROMETER_UNCALIBRATED	1.2993011	3.049652	9.066406
1561018688979	TYPE_ACCELEROMETER	1.0899353	2.8175507	9.146561
1561018688979	TYPE_MAGNETIC_FIELD	-35.7	17.82	-11.5199995
1561018688979	TYPE_GYROSCOPE	-0.16783142	0.07246399	0.86968994
1561018688979	TYPE_ROTATION_VECTOR	0.08258014	-0.14652762	-0.4526205
1561018688979	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-14.580002	-8.4	-161.82
1561018688979	TYPE_GYROSCOPE_UNCALIBRATED	-0.14720154	0.19241333	0.8600769
1561018688979	TYPE_ACCELEROMETER_UNCALIBRATED	1.2514496	2.889328	9.174088
1561018688999	TYPE_ACCELEROMETER	1.0325165	2.774475	9.052048
1561018688999	TYPE_MAGNETIC_FIELD	-35.34	18.18	-11.4
1561018688999	TYPE_GYROSCOPE	-0.1934967	0.049240112	0.8293762
1561018688999	TYPE_ROTATION_VECTOR	0.080554076	-0.14550847	-0.44484296
1561018688999	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-14.220001	-8.039999	-161.7
1561018688999	TYPE_GYROSCOPE_UNCALIBRATED	-0.16247559	0.14233398	0.8222046
1561018688999	TYPE_ACCELEROMETER_UNCALIBRATED	1.0899353	2.8175507	9.146561
1561018689018	TYPE_ACCELEROMETER	1.0576324	2.7876434	9.024536
1561018689018	TYPE_MAGNETIC_FIELD	-34.559998	18.48	-11.28
1561018689018	TYPE_GYROSCOPE	-0.21670532	0.05168152	0.78967285
1561018689018	TYPE_ROTATION_VECTOR	0.078178816	-0.14483044	-0.4374959
1561018689018	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-13.439999	-7.74	-161.58
1561018689018	TYPE_GYROSCOPE_UNCALIBRATED	-0.18629456	0.09957886	0.77822876
1561018689018	TYPE_ACCELEROMETER_UNCALIBRATED	1.0576324	2.7876434	9.024536
1561018689038	TYPE_ACCELEROMETER	1.203598	2.8343048	8.921646
1561018689038	TYPE_MAGNETIC_FIELD	-33.84	18.72	-10.98
1561018689038	TYPE_GYROSCOPE	-0.2216034	0.04069519	0.7438507
1561018689038	TYPE_ROTATION_VECTOR	0.075531974	-0.1442037	-0.43052143
1561018689038	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-12.720001	-7.5	-161.28
1561018689038	TYPE_GYROSCOPE_UNCALIBRATED	-0.21134949	0.09284973	0.7385254
1561018689038	TYPE_ACCELEROMETER_UNCALIBRATED	1.203598	2.8343048	8.921646
1561018689058	TYPE_ACCELEROMETER	1.3447723	2.9347992	8.690735
1561018689058	TYPE_MAGNETIC_FIELD	-33.059998	18.9	-10.98
1561018689058	TYPE_GYROSCOPE	-0.20936584	0.021148682	0.68460083
1561018689058	TYPE_ROTATION_VECTOR	0.07274383	-0.14341937	-0.42389497
1561018689058	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-11.939999	-7.3199997	-161.28
1561018689058	TYPE_GYROSCOPE_UNCALIBRATED	-0.22784424	0.09346008	0.69880676
1561018689058	TYPE_ACCELEROMETER_UNCALIBRATED	1.203598	2.8343048	8.921646
1561018689077	TYPE_ACCELEROMETER	1.5170441	2.999405	8.444275
1561018689077	TYPE_MAGNETIC_FIELD	-32.219997	19.38	-11.04
1561018689077	TYPE_GYROSCOPE	-0.1898346	0.018081665	0.62228394
1561018689077	TYPE_ROTATION_VECTOR	0.06992705	-0.14266795	-0.41765738
1561018689077	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-11.099998	-6.84	-161.34
1561018689077	TYPE_GYROSCOPE_UNCALIBRATED	-0.22233582	0.07330322	0.6438446
1561018689077	TYPE_ACCELEROMETER_UNCALIBRATED	1.5170441	2.999405	8.444275
1561018689097	TYPE_ACCELEROMETER	1.6737823	3.0998993	8.171494
1561018689097	TYPE_MAGNETIC_FIELD	-31.56	19.439999	-11.099999
1561018689097	TYPE_GYROSCOPE	-0.1617279	0.070007324	0.5575409
1561018689097	TYPE_ROTATION_VECTOR	0.06721626	-0.14208986	-0.41191325
1561018689097	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-10.440001	-6.7800007	-161.40001
1561018689097	TYPE_GYROSCOPE_UNCALIBRATED	-0.20645142	0.059249878	0.58335876
1561018689097	TYPE_ACCELEROMETER_UNCALIBRATED	1.6737823	3.0998993	8.171494
