#	startTime:1561018774599
#	SiteID:5cd969be39e2fc0b4afe732d	SiteName:东方商厦(青浦店)	FloorId:5cd969c039e2fc0b4afe7505	FloorName:F1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561018774599	TYPE_WAYPOINT	59.88478	33.140324
1561018774711	TYPE_ACCELEROMETER	-0.16630554	2.374878	9.694534
1561018774711	TYPE_MAGNETIC_FIELD	-18.3	-33.36	-19.5
1561018774711	TYPE_GYROSCOPE	-0.14828491	0.21051025	-0.02947998
1561018774711	TYPE_ROTATION_VECTOR	0.051898	-0.10353962	-0.9481956
1561018774711	TYPE_MAGNETIC_FIELD_UNCALIBRATED	2.8199997	-59.58	-169.8
1561018774711	TYPE_GYROSCOPE_UNCALIBRATED	-0.1539154	0.25411987	-0.10017395
1561018774711	TYPE_ACCELEROMETER_UNCALIBRATED	-0.16630554	2.374878	9.694534
1561018774731	TYPE_ACCELEROMETER	0.03111267	2.4227448	9.238693
1561018774731	TYPE_MAGNETIC_FIELD	-18.42	-33.42	-19.439999
1561018774731	TYPE_GYROSCOPE	0.2572937	0.098724365	1.052948
1561018774731	TYPE_ROTATION_VECTOR	0.043777976	-0.11170697	-0.9474589
1561018774731	TYPE_MAGNETIC_FIELD_UNCALIBRATED	2.6999989	-59.64	-169.74
1561018774731	TYPE_GYROSCOPE_UNCALIBRATED	-0.1539154	0.25411987	-0.10017395
1561018774731	TYPE_ACCELEROMETER_UNCALIBRATED	0.03111267	2.4227448	9.238693
1561018774751	TYPE_ACCELEROMETER	0.06341553	2.4801636	9.058029
1561018774751	TYPE_MAGNETIC_FIELD	-18.72	-33.48	-19.02
1561018774751	TYPE_GYROSCOPE	0.14613342	0.1255951	0.95947266
1561018774751	TYPE_ROTATION_VECTOR	0.037155673	-0.12135985	-0.9449313
1561018774751	TYPE_MAGNETIC_FIELD_UNCALIBRATED	2.3999996	-59.699997	-169.32
1561018774751	TYPE_GYROSCOPE_UNCALIBRATED	0.2516632	0.14233398	0.982254
1561018774751	TYPE_ACCELEROMETER_UNCALIBRATED	0.06341553	2.4801636	9.058029
1561018774770	TYPE_ACCELEROMETER	0.039489746	2.4789734	9.363129
1561018774770	TYPE_MAGNETIC_FIELD	-18.96	-33.66	-18.9
1561018774770	TYPE_GYROSCOPE	0.06060791	0.16226196	0.86602783
1561018774770	TYPE_ROTATION_VECTOR	0.037476856	-0.12809524	-0.94478226
1561018774770	TYPE_MAGNETIC_FIELD_UNCALIBRATED	2.1599998	-59.879997	-169.2
1561018774770	TYPE_GYROSCOPE_UNCALIBRATED	0.054977417	0.20587158	0.79533386
1561018774770	TYPE_ACCELEROMETER_UNCALIBRATED	0.039489746	2.4789734	9.363129
1561018774790	TYPE_ACCELEROMETER	-0.011962891	2.5052795	9.661026
1561018774790	TYPE_MAGNETIC_FIELD	-19.199999	-33.66	-18.779999
1561018774790	TYPE_GYROSCOPE	0.067337036	0.20928955	0.7829437
1561018774790	TYPE_ROTATION_VECTOR	0.03814933	-0.123033434	-0.9435464
1561018774790	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.9200001	-59.879997	-169.08
1561018774790	TYPE_GYROSCOPE_UNCALIBRATED	0.054977417	0.20587158	0.79533386
1561018774790	TYPE_ACCELEROMETER_UNCALIBRATED	-0.011962891	2.5052795	9.661026
1561018774810	TYPE_ACCELEROMETER	-0.056243896	2.5615234	9.818954
1561018774810	TYPE_MAGNETIC_FIELD	-19.56	-33.719997	-18.539999
1561018774810	TYPE_GYROSCOPE	0.140625	0.25022888	0.7175751
1561018774810	TYPE_ROTATION_VECTOR	0.039514676	-0.119604595	-0.9417229
1561018774810	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.5599995	-59.939995	-168.84
1561018774810	TYPE_GYROSCOPE_UNCALIBRATED	0.061706543	0.25289917	0.71224976
1561018774810	TYPE_ACCELEROMETER_UNCALIBRATED	-0.056243896	2.5615234	9.818954
1561018774829	TYPE_ACCELEROMETER	-0.08375549	2.6081848	9.644272
1561018774829	TYPE_MAGNETIC_FIELD	-20.1	-33.96	-18.24
1561018774829	TYPE_GYROSCOPE	0.24264526	0.25328064	0.6668854
1561018774829	TYPE_ROTATION_VECTOR	0.043643348	-0.11982355	-0.9395669
1561018774829	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.0199986	-60.18	-168.54001
1561018774829	TYPE_GYROSCOPE_UNCALIBRATED	0.23701477	0.29689026	0.5961914
1561018774829	TYPE_ACCELEROMETER_UNCALIBRATED	-0.08375549	2.6081848	9.644272
1561018774849	TYPE_ACCELEROMETER	-0.046661377	2.6560364	9.107086
1561018774849	TYPE_MAGNETIC_FIELD	-20.46	-34.02	-17.88
1561018774849	TYPE_GYROSCOPE	0.30496216	0.22517395	0.6284027
1561018774849	TYPE_ROTATION_VECTOR	0.04580529	-0.12106404	-0.93705267
1561018774849	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.65999985	-60.239998	-168.18001
1561018774849	TYPE_GYROSCOPE_UNCALIBRATED	0.23701477	0.29689026	0.5961914
1561018774849	TYPE_ACCELEROMETER_UNCALIBRATED	-0.046661377	2.6560364	9.107086
1561018774869	TYPE_ACCELEROMETER	0.17228699	2.6895447	8.660828
1561018774869	TYPE_MAGNETIC_FIELD	-21.0	-34.02	-17.64
1561018774869	TYPE_GYROSCOPE	0.25975037	0.1903534	0.6009064
1561018774869	TYPE_ROTATION_VECTOR	0.048161272	-0.12320357	-0.93452394
1561018774869	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.11999893	-60.239998	-167.94
1561018774869	TYPE_GYROSCOPE_UNCALIBRATED	0.29933167	0.26878357	0.55770874
1561018774869	TYPE_ACCELEROMETER_UNCALIBRATED	0.17228699	2.6895447	8.660828
1561018774888	TYPE_ACCELEROMETER	0.32063293	2.5938263	8.549561
1561018774888	TYPE_MAGNETIC_FIELD	-21.3	-34.26	-17.34
1561018774888	TYPE_GYROSCOPE	0.15284729	0.17080688	0.550827
1561018774888	TYPE_ROTATION_VECTOR	0.050283175	-0.12552395	-0.9320514
1561018774888	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.1800003	-60.479996	-167.64
1561018774888	TYPE_GYROSCOPE_UNCALIBRATED	0.1472168	0.2144165	0.48013306
1561018774888	TYPE_ACCELEROMETER_UNCALIBRATED	0.32063293	2.5938263	8.549561
1561018774908	TYPE_ACCELEROMETER	0.4235382	2.5615234	8.75415
1561018774908	TYPE_MAGNETIC_FIELD	-21.359999	-34.26	-17.64
1561018774908	TYPE_GYROSCOPE	0.05999756	0.19950867	0.48789978
1561018774908	TYPE_ROTATION_VECTOR	0.051867664	-0.12714453	-0.9297777
1561018774908	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.23999977	-60.479996	-167.94
1561018774908	TYPE_GYROSCOPE_UNCALIBRATED	0.1472168	0.2144165	0.48013306
1561018774908	TYPE_ACCELEROMETER_UNCALIBRATED	0.4235382	2.5615234	8.75415
1561018774928	TYPE_ACCELEROMETER	0.48814392	2.5423737	8.809189
1561018774928	TYPE_MAGNETIC_FIELD	-21.66	-34.32	-17.52
1561018774928	TYPE_GYROSCOPE	-4.8828125E-4	0.1952362	0.43597412
1561018774928	TYPE_ROTATION_VECTOR	0.05320405	-0.12772837	-0.9278023
1561018774928	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.5400009	-60.54	-167.82
