#	startTime:1561018811416
#	SiteID:5cd969be39e2fc0b4afe732d	SiteName:东方商厦(青浦店)	FloorId:5cd969c039e2fc0b4afe7505	FloorName:F1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561018811416	TYPE_WAYPOINT	48.925938	14.456451
1561018811535	TYPE_ACCELEROMETER	-0.5862427	0.9654999	11.698517
1561018811535	TYPE_MAGNETIC_FIELD	14.34	-3.36	-19.38
1561018811535	TYPE_GYROSCOPE	0.42193604	0.57733154	-0.11593628
1561018811535	TYPE_ROTATION_VECTOR	0.026176762	0.0567049	0.75356215
1561018811535	TYPE_MAGNETIC_FIELD_UNCALIBRATED	35.46	-29.58	-169.68001
1561018811535	TYPE_GYROSCOPE_UNCALIBRATED	0.50701904	0.6780548	-0.30543518
1561018811535	TYPE_ACCELEROMETER_UNCALIBRATED	-0.47616577	1.1844482	11.70929
1561018811555	TYPE_ACCELEROMETER	-0.8386841	0.624527	11.60759
1561018811555	TYPE_MAGNETIC_FIELD	14.4	-3.4199998	-19.199999
1561018811555	TYPE_GYROSCOPE	0.19499207	0.41819763	0.2301178
1561018811555	TYPE_ROTATION_VECTOR	0.003928745	0.046704512	0.7619179
1561018811555	TYPE_MAGNETIC_FIELD_UNCALIBRATED	35.519997	-29.64	-169.5
1561018811555	TYPE_GYROSCOPE_UNCALIBRATED	0.41630554	0.62094116	-0.18663025
1561018811555	TYPE_ACCELEROMETER_UNCALIBRATED	-0.47616577	1.1844482	11.70929
1561018811575	TYPE_ACCELEROMETER	-0.9714813	0.4390869	11.05365
1561018811575	TYPE_MAGNETIC_FIELD	14.759999	-3.6	-18.9
1561018811575	TYPE_GYROSCOPE	0.37643433	0.39620972	0.18185425
1561018811575	TYPE_ROTATION_VECTOR	-0.010960603	0.042810526	0.77674204
1561018811575	TYPE_MAGNETIC_FIELD_UNCALIBRATED	35.879997	-29.82	-169.2
1561018811575	TYPE_GYROSCOPE_UNCALIBRATED	0.18936157	0.46180725	0.15942383
1561018811575	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9140625	0.50608826	11.38385
1561018811594	TYPE_ACCELEROMETER	-1.2454681	0.50727844	10.369293
1561018811594	TYPE_MAGNETIC_FIELD	15.24	-3.78	-18.9
1561018811594	TYPE_GYROSCOPE	0.5144806	0.32351685	0.10122681
1561018811594	TYPE_ROTATION_VECTOR	-0.021976117	0.041379105	0.7894448
1561018811594	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.36	-30.0	-169.2
1561018811594	TYPE_GYROSCOPE_UNCALIBRATED	0.37080383	0.43981934	0.11116028
1561018811594	TYPE_ACCELEROMETER_UNCALIBRATED	-1.051651	0.45344543	10.707886
1561018811614	TYPE_ACCELEROMETER	-1.8747711	0.6352997	9.705292
1561018811614	TYPE_MAGNETIC_FIELD	15.299999	-4.08	-18.539999
1561018811614	TYPE_GYROSCOPE	0.6024475	0.27160645	0.023040771
1561018811614	TYPE_ROTATION_VECTOR	-0.034633383	0.054243412	0.8160517
1561018811614	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.42	-30.3	-168.84
1561018811614	TYPE_GYROSCOPE_UNCALIBRATED	0.5088501	0.36712646	0.030532837
1561018811614	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5421753	0.56352234	10.02832
1561018811634	TYPE_ACCELEROMETER	-2.4275208	0.83509827	9.00061
1561018811634	TYPE_MAGNETIC_FIELD	15.48	-4.7999997	-18.24
1561018811634	TYPE_GYROSCOPE	0.6665802	0.24533081	0.032806396
1561018811634	TYPE_ROTATION_VECTOR	-0.06649631	0.07469211	0.86474097
1561018811634	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.6	-31.019999	-168.54001
1561018811634	TYPE_GYROSCOPE_UNCALIBRATED	0.596817	0.31521606	-0.0476532
1561018811634	TYPE_ACCELEROMETER_UNCALIBRATED	-2.1846466	0.73579407	9.377472
1561018811653	TYPE_ACCELEROMETER	-2.5447693	1.0193481	8.280365
1561018811653	TYPE_MAGNETIC_FIELD	15.839999	-5.1	-18.0
1561018811653	TYPE_GYROSCOPE	0.68551636	0.23371887	0.15437317
1561018811653	TYPE_ROTATION_VECTOR	-0.093346424	0.10445692	0.8713448
1561018811653	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.96	-31.32	-168.3
1561018811653	TYPE_GYROSCOPE_UNCALIBRATED	0.6609497	0.28894043	-0.037887573
1561018811653	TYPE_ACCELEROMETER_UNCALIBRATED	-2.548355	0.93200684	8.598618
1561018811673	TYPE_ACCELEROMETER	-2.2767792	1.1138611	8.003998
1561018811673	TYPE_MAGNETIC_FIELD	16.14	-5.58	-17.82
1561018811673	TYPE_GYROSCOPE	0.58106995	0.25450134	0.3260193
1561018811673	TYPE_ROTATION_VECTOR	-0.092150144	0.111516766	0.87078196
1561018811673	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.26	-31.8	-168.12
1561018811673	TYPE_GYROSCOPE_UNCALIBRATED	0.67988586	0.2773285	0.0836792
1561018811673	TYPE_ACCELEROMETER_UNCALIBRATED	-2.4502563	1.076767	8.086548
1561018811693	TYPE_ACCELEROMETER	-1.7228394	1.1904297	8.072189
1561018811693	TYPE_MAGNETIC_FIELD	16.38	-6.0	-17.82
1561018811693	TYPE_GYROSCOPE	0.3843689	0.23800659	0.47140503
1561018811693	TYPE_ROTATION_VECTOR	-0.09093717	0.11840024	0.870929
1561018811693	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.5	-32.22	-168.12
1561018811693	TYPE_GYROSCOPE_UNCALIBRATED	0.57543945	0.29811096	0.25532532
1561018811693	TYPE_ACCELEROMETER_UNCALIBRATED	-2.0219421	1.146164	8.020737
1561018811712	TYPE_ACCELEROMETER	-1.2059937	1.3112793	8.051849
1561018811712	TYPE_MAGNETIC_FIELD	16.8	-6.42	-17.82
1561018811712	TYPE_GYROSCOPE	0.2029419	0.15309143	0.5367737
1561018811712	TYPE_ROTATION_VECTOR	-0.09041505	0.124109775	0.8719777
1561018811712	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.92	-32.64	-168.12
1561018811712	TYPE_GYROSCOPE_UNCALIBRATED	0.3787384	0.2816162	0.40071106
1561018811712	TYPE_ACCELEROMETER_UNCALIBRATED	-2.0219421	1.146164	8.020737
1561018811732	TYPE_ACCELEROMETER	-0.9511566	1.5337982	7.932205
1561018811732	TYPE_MAGNETIC_FIELD	16.56	-6.96	-17.58
1561018811732	TYPE_GYROSCOPE	0.062454224	0.050460815	0.53492737
1561018811732	TYPE_ROTATION_VECTOR	-0.09020709	0.12795553	0.8737734
1561018811732	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.68	-33.18	-167.88
1561018811732	TYPE_GYROSCOPE_UNCALIBRATED	0.1973114	0.19670105	0.4660797
1561018811732	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0361023	1.4153595	7.9824677
1561018811752	TYPE_ACCELEROMETER	-0.8183441	1.7958221	7.9525604
1561018811752	TYPE_MAGNETIC_FIELD	16.38	-7.5	-17.279999
1561018811752	TYPE_GYROSCOPE	-0.07194519	-0.04359436	0.5178375
1561018811752	TYPE_ROTATION_VECTOR	-0.0897831	0.13000524	0.87595445
1561018811752	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.5	-33.72	-167.58
1561018811752	TYPE_GYROSCOPE_UNCALIBRATED	0.05682373	0.094070435	0.4642334
1561018811752	TYPE_ACCELEROMETER_UNCALIBRATED	-0.899704	1.660614	7.9214478
1561018811771	TYPE_ACCELEROMETER	-0.59461975	2.0195465	8.139191
1561018811771	TYPE_MAGNETIC_FIELD	16.68	-7.8599997	-17.34
1561018811771	TYPE_GYROSCOPE	-0.19960022	-0.117507935	0.5166168
1561018811771	TYPE_ROTATION_VECTOR	-0.08917178	0.13045491	0.87829274
1561018811771	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.8	-34.079998	-167.64
1561018811771	TYPE_GYROSCOPE_UNCALIBRATED	-0.07757568	1.5258789E-5	0.44714355
1561018811771	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7046814	1.9214478	8.021942
1561018811791	TYPE_ACCELEROMETER	-0.45584106	2.197815	8.439484
1561018811791	TYPE_MAGNETIC_FIELD	16.8	-7.7999997	-17.52
1561018811791	TYPE_GYROSCOPE	-0.27719116	-0.1388855	0.50868225
1561018811791	TYPE_ROTATION_VECTOR	-0.08837804	0.12933637	0.8808145
1561018811791	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.92	-34.02	-167.82
1561018811791	TYPE_GYROSCOPE_UNCALIBRATED	-0.20523071	-0.073898315	0.44592285
1561018811791	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5001068	2.1044922	8.288742
1561018811811	TYPE_ACCELEROMETER	-0.53001404	2.3844452	8.784058
1561018811811	TYPE_MAGNETIC_FIELD	16.68	-8.4	-17.58
1561018811811	TYPE_GYROSCOPE	-0.27597046	-0.11201477	0.48239136
1561018811811	TYPE_ROTATION_VECTOR	-0.087626606	0.12704627	0.8834918
1561018811811	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.8	-34.62	-167.88
1561018811811	TYPE_GYROSCOPE_UNCALIBRATED	-0.28282166	-0.09527588	0.43798828
1561018811811	TYPE_ACCELEROMETER_UNCALIBRATED	-0.47737122	2.2911224	8.603394
1561018811830	TYPE_ACCELEROMETER	-0.68315125	2.514862	9.136993
1561018811830	TYPE_MAGNETIC_FIELD	16.74	-8.76	-17.58
1561018811830	TYPE_GYROSCOPE	-0.21792603	-0.037490845	0.46772766
1561018811830	TYPE_ROTATION_VECTOR	-0.08712217	0.12443479	0.8861023
1561018811830	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.86	-34.98	-167.88
1561018811830	TYPE_GYROSCOPE_UNCALIBRATED	-0.28160095	-0.06840515	0.4116974
1561018811830	TYPE_ACCELEROMETER_UNCALIBRATED	-0.59580994	2.4670105	8.971893
1561018811850	TYPE_ACCELEROMETER	-0.88175964	2.5579376	9.259033
1561018811850	TYPE_MAGNETIC_FIELD	16.74	-9.3	-17.4
1561018811850	TYPE_GYROSCOPE	-0.12690735	0.035812378	0.4616394
1561018811850	TYPE_ROTATION_VECTOR	-0.086915396	0.12229084	0.8884968
1561018811850	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.86	-35.52	-167.7
