#	startTime:1561018948779
#	SiteID:5cd969be39e2fc0b4afe732d	SiteName:东方商厦(青浦店)	FloorId:5cd969c039e2fc0b4afe7505	FloorName:F1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561018948780	TYPE_WAYPOINT	58.173874	49.748775
1561018948900	TYPE_ACCELEROMETER	0.09451294	2.1678925	10.199417
1561018948900	TYPE_MAGNETIC_FIELD	-9.36	-40.92	-13.74
1561018948900	TYPE_GYROSCOPE	0.08232117	0.12527466	1.4530792
1561018948900	TYPE_ROTATION_VECTOR	0.022553094	-0.0986842	-0.9846873
1561018948900	TYPE_MAGNETIC_FIELD_UNCALIBRATED	11.759999	-67.14	-164.04001
1561018948900	TYPE_GYROSCOPE_UNCALIBRATED	-0.029296875	0.16369629	1.7006378
1561018948900	TYPE_ACCELEROMETER_UNCALIBRATED	-0.27757263	2.2097778	10.721054
1561018948920	TYPE_ACCELEROMETER	0.25483704	2.136795	9.667007
1561018948920	TYPE_MAGNETIC_FIELD	-9.42	-40.68	-13.679999
1561018948920	TYPE_GYROSCOPE	0.40820312	0.15492249	0.48301697
1561018948920	TYPE_ROTATION_VECTOR	0.010400157	-0.10424114	-0.9857562
1561018948920	TYPE_MAGNETIC_FIELD_UNCALIBRATED	11.699999	-66.9	-163.98
1561018948920	TYPE_GYROSCOPE_UNCALIBRATED	0.2886505	0.17927551	0.7458496
1561018948920	TYPE_ACCELEROMETER_UNCALIBRATED	0.18066406	2.1523438	9.948166
1561018948940	TYPE_ACCELEROMETER	0.35772705	2.045868	9.139389
1561018948940	TYPE_MAGNETIC_FIELD	-9.599999	-40.5	-13.44
1561018948940	TYPE_GYROSCOPE	0.39718628	0.2062378	0.43719482
1561018948940	TYPE_ROTATION_VECTOR	0.0035261114	-0.10815944	-0.9851041
1561018948940	TYPE_MAGNETIC_FIELD_UNCALIBRATED	11.5199995	-66.72	-163.74
1561018948940	TYPE_GYROSCOPE_UNCALIBRATED	0.4080658	0.2266388	0.38667297
1561018948940	TYPE_ACCELEROMETER_UNCALIBRATED	0.18066406	2.1523438	9.948166
1561018948959	TYPE_ACCELEROMETER	0.38046265	1.9178467	8.998215
1561018948959	TYPE_MAGNETIC_FIELD	-9.9	-40.62	-13.38
1561018948959	TYPE_GYROSCOPE	0.29518127	0.2441101	0.40422058
1561018948959	TYPE_ROTATION_VECTOR	-0.003898939	-0.111511335	-0.9843508
1561018948959	TYPE_MAGNETIC_FIELD_UNCALIBRATED	11.219999	-66.84	-163.68001
1561018948959	TYPE_GYROSCOPE_UNCALIBRATED	0.35185242	0.26634216	0.34817505
1561018948959	TYPE_ACCELEROMETER_UNCALIBRATED	0.37208557	1.9908295	9.001801
1561018948979	TYPE_ACCELEROMETER	0.22972107	1.6235352	9.323639
1561018948979	TYPE_MAGNETIC_FIELD	-10.0199995	-40.5	-13.2
1561018948979	TYPE_GYROSCOPE	0.12413025	0.3363495	0.38954163
1561018948979	TYPE_ROTATION_VECTOR	-0.00549174	-0.10578295	-0.9859003
1561018948979	TYPE_MAGNETIC_FIELD_UNCALIBRATED	11.099999	-66.72	-163.5
1561018948979	TYPE_GYROSCOPE_UNCALIBRATED	0.20829773	0.3262024	0.32435608
1561018948979	TYPE_ACCELEROMETER_UNCALIBRATED	0.3433838	1.7898407	9.117859
1561018948999	TYPE_ACCELEROMETER	0.0335083	1.3699036	9.881165
1561018948999	TYPE_MAGNETIC_FIELD	-10.5	-40.62	-12.78
1561018948999	TYPE_GYROSCOPE	-0.042007446	0.44813538	0.3834381
1561018948999	TYPE_ROTATION_VECTOR	-5.4924512E-6	-0.08699992	-0.9851495
1561018948999	TYPE_MAGNETIC_FIELD_UNCALIBRATED	10.619999	-66.84	-163.08
1561018948999	TYPE_GYROSCOPE_UNCALIBRATED	0.0317688	0.43981934	0.3145752
1561018948999	TYPE_ACCELEROMETER_UNCALIBRATED	0.0993042	1.4799652	9.590439
1561018949018	TYPE_ACCELEROMETER	0.052642822	1.1712952	10.390839
1561018949018	TYPE_MAGNETIC_FIELD	-10.74	-40.8	-12.42
1561018949018	TYPE_GYROSCOPE	-0.16540527	0.45913696	0.37306213
1561018949018	TYPE_ROTATION_VECTOR	0.010634773	-0.067208156	-0.9858561
1561018949018	TYPE_MAGNETIC_FIELD_UNCALIBRATED	10.379999	-67.02	-162.72
1561018949018	TYPE_GYROSCOPE_UNCALIBRATED	-0.1166687	0.51802063	0.3109131
1561018949018	TYPE_ACCELEROMETER_UNCALIBRATED	0.0143585205	1.2658081	10.15155
1561018949038	TYPE_ACCELEROMETER	0.36730957	1.1605225	10.546371
1561018949038	TYPE_MAGNETIC_FIELD	-11.16	-40.86	-12.42
