#	startTime:1561019719977
#	SiteID:5cd969be39e2fc0b4afe732d	SiteName:东方商厦(青浦店)	FloorId:5cd969c139e2fc0b4afe7614	FloorName:F2
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561019719979	TYPE_WAYPOINT	33.452454	35.532906
1561019720168	TYPE_ACCELEROMETER	0.707077	2.629715	9.089142
1561019720168	TYPE_MAGNETIC_FIELD	-5.64	-37.86	-41.7
1561019720168	TYPE_GYROSCOPE	-0.15989685	0.08528137	0.029769897
1561019720168	TYPE_ROTATION_VECTOR	-0.033024598	-0.14279743	-0.9884303
1561019720168	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-2.3999999	-68.58	-170.51999
1561019720168	TYPE_GYROSCOPE_UNCALIBRATED	-0.09527588	0.18569946	-0.017105103
1561019720168	TYPE_ACCELEROMETER_UNCALIBRATED	0.707077	2.629715	9.089142
1561019720188	TYPE_ACCELEROMETER	0.7238312	2.687149	9.2482605
1561019720188	TYPE_MAGNETIC_FIELD	-5.8199997	-37.92	-41.76
1561019720188	TYPE_GYROSCOPE	-0.20266724	-0.006958008	0.001663208
1561019720188	TYPE_ROTATION_VECTOR	-0.027903812	-0.14215775	-0.98738617
1561019720188	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-2.5799997	-68.64	-170.57999
1561019720188	TYPE_GYROSCOPE_UNCALIBRATED	-0.16552734	0.12889099	-0.040924072
1561019720188	TYPE_ACCELEROMETER_UNCALIBRATED	0.7238312	2.687149	9.2482605
1561019720208	TYPE_ACCELEROMETER	0.7537384	2.7768707	9.274582
1561019720208	TYPE_MAGNETIC_FIELD	-5.7599998	-37.92	-41.82
1561019720208	TYPE_GYROSCOPE	-0.1934967	-0.06436157	-0.01727295
1561019720208	TYPE_ROTATION_VECTOR	-0.03308367	-0.1419087	-0.9887697
1561019720208	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-2.5199997	-68.64	-170.63998
1561019720208	TYPE_GYROSCOPE_UNCALIBRATED	-0.20829773	0.03665161	-0.06903076
1561019720208	TYPE_ACCELEROMETER_UNCALIBRATED	0.7537384	2.7768707	9.274582
1561019720227	TYPE_ACCELEROMETER	0.8159485	2.8139648	9.121445
1561019720227	TYPE_MAGNETIC_FIELD	-5.8199997	-37.8	-42.0
1561019720227	TYPE_GYROSCOPE	-0.18190002	-0.052764893	-0.022766113
1561019720227	TYPE_ROTATION_VECTOR	-0.03521945	-0.14395067	-0.9885617
1561019720227	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-2.5799997	-68.52	-170.81999
1561019720227	TYPE_GYROSCOPE_UNCALIBRATED	-0.1991272	-0.020751953	-0.08796692
1561019720227	TYPE_ACCELEROMETER_UNCALIBRATED	0.8159485	2.8139648	9.121445
1561019720247	TYPE_ACCELEROMETER	0.83151245	2.7960205	9.121445
