#	startTime:1561019890781
#	SiteID:5cd969be39e2fc0b4afe732d	SiteName:东方商厦(青浦店)	FloorId:5cd969c139e2fc0b4afe7614	FloorName:F2
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561019890782	TYPE_WAYPOINT	29.579674	29.426699
1561019891011	TYPE_ACCELEROMETER	0.46061707	3.1752777	8.745773
1561019891011	TYPE_MAGNETIC_FIELD	25.92	0.96	-18.42
1561019891011	TYPE_GYROSCOPE	-0.13851929	0.21846008	0.14093018
1561019891011	TYPE_ROTATION_VECTOR	0.15853678	0.08119351	0.59868675
1561019891011	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.099998	-34.44	-165.84
1561019891011	TYPE_GYROSCOPE_UNCALIBRATED	-0.14414978	0.2620697	0.070236206
1561019891011	TYPE_ACCELEROMETER_UNCALIBRATED	0.49412537	3.1836548	8.465805
1561019891031	TYPE_ACCELEROMETER	0.29432678	3.0317078	9.570099
1561019891031	TYPE_MAGNETIC_FIELD	26.039999	1.1999999	-18.18
1561019891031	TYPE_GYROSCOPE	-0.26008606	0.30152893	0.14215088
1561019891031	TYPE_ROTATION_VECTOR	0.15235958	0.085444316	0.5978846
1561019891031	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.099998	-34.44	-165.84
1561019891031	TYPE_GYROSCOPE_UNCALIBRATED	-0.14414978	0.2620697	0.070236206
1561019891031	TYPE_ACCELEROMETER_UNCALIBRATED	0.3900299	3.1298065	9.127426
1561019891050	TYPE_ACCELEROMETER	-0.07058716	2.7445679	10.8012085
1561019891050	TYPE_MAGNETIC_FIELD	26.16	1.02	-18.119999
1561019891050	TYPE_GYROSCOPE	-0.3675995	0.5049591	0.1641388
1561019891050	TYPE_ROTATION_VECTOR	0.12550358	0.0876121	0.6388861
1561019891050	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.22	-34.62	-165.78
1561019891050	TYPE_GYROSCOPE_UNCALIBRATED	-0.37322998	0.5485687	0.093444824
1561019891050	TYPE_ACCELEROMETER_UNCALIBRATED	0.15673828	2.9036865	10.115662
1561019891070	TYPE_ACCELEROMETER	-0.8027954	2.2301178	12.587448
1561019891070	TYPE_MAGNETIC_FIELD	26.22	1.14	-17.94
1561019891070	TYPE_GYROSCOPE	-0.5294647	0.6955414	0.20018005
1561019891070	TYPE_ROTATION_VECTOR	0.09335445	0.081658386	0.634093
1561019891070	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.279999	-34.5	-165.6
1561019891070	TYPE_GYROSCOPE_UNCALIBRATED	-0.37322998	0.5485687	0.093444824
1561019891070	TYPE_ACCELEROMETER_UNCALIBRATED	-0.38883972	2.5304108	11.64946
1561019891090	TYPE_ACCELEROMETER	-1.7443695	1.3675079	14.678772
1561019891090	TYPE_MAGNETIC_FIELD	26.22	1.1999999	-17.88
1561019891090	TYPE_GYROSCOPE	-0.75671387	0.67048645	0.24783325
1561019891090	TYPE_ROTATION_VECTOR	0.046068992	0.08014265	0.6472196
1561019891090	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.279999	-34.44	-165.54001
1561019891090	TYPE_GYROSCOPE_UNCALIBRATED	-0.5350952	0.739151	0.12948608
1561019891090	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2993011	1.8233337	13.5876465
1561019891109	TYPE_ACCELEROMETER	-1.5194397	0.76330566	17.120651
1561019891109	TYPE_MAGNETIC_FIELD	26.34	1.02	-17.58
1561019891109	TYPE_GYROSCOPE	-0.98272705	0.45606995	0.35046387
1561019891109	TYPE_ROTATION_VECTOR	0.038982406	0.08189958	0.64917874
1561019891109	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.4	-34.62	-165.24
1561019891109	TYPE_GYROSCOPE_UNCALIBRATED	-0.76234436	0.71409607	0.17713928
1561019891109	TYPE_ACCELEROMETER_UNCALIBRATED	-1.8520508	1.0061798	15.878784
1561019891129	TYPE_ACCELEROMETER	-0.59342957	0.20339966	18.61258
1561019891129	TYPE_MAGNETIC_FIELD	26.22	1.26	-17.279999
1561019891129	TYPE_GYROSCOPE	-0.93507385	0.09689331	0.41581726
1561019891129	TYPE_ROTATION_VECTOR	0.019925386	0.08163786	0.6545617
1561019891129	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.279999	-34.38	-164.94
1561019891129	TYPE_GYROSCOPE_UNCALIBRATED	-0.98835754	0.49967957	0.2797699
1561019891129	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0217438	0.5120697	18.129227
1561019891149	TYPE_ACCELEROMETER	0.16989136	0.0382843	17.7715
1561019891149	TYPE_MAGNETIC_FIELD	26.4	1.26	-16.92
1561019891149	TYPE_GYROSCOPE	-0.3742981	-0.18470764	0.316864
1561019891149	TYPE_ROTATION_VECTOR	0.010914401	0.07712984	0.6583575
1561019891149	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.46	-34.38	-164.58
1561019891149	TYPE_GYROSCOPE_UNCALIBRATED	-0.94070435	0.14050293	0.3451233
1561019891149	TYPE_ACCELEROMETER_UNCALIBRATED	-0.19143677	0.027526855	18.482162
1561019891168	TYPE_ACCELEROMETER	0.13519287	0.11605835	15.049652
1561019891168	TYPE_MAGNETIC_FIELD	26.699999	1.3199999	-16.859999
1561019891168	TYPE_GYROSCOPE	0.46316528	-0.28977966	0.10673523
1561019891168	TYPE_ROTATION_VECTOR	0.006347543	0.0719935	0.6617024
1561019891168	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.759998	-34.32	-164.52
1561019891168	TYPE_GYROSCOPE_UNCALIBRATED	0.4575348	-0.24617004	0.03604126
1561019891168	TYPE_ACCELEROMETER_UNCALIBRATED	0.30270386	0.08255005	16.576279
1561019891188	TYPE_ACCELEROMETER	-0.6029968	0.25125122	11.79303
1561019891188	TYPE_MAGNETIC_FIELD	26.699999	1.8	-16.68
1561019891188	TYPE_GYROSCOPE	1.1308441	-0.19387817	-0.08508301
1561019891188	TYPE_ROTATION_VECTOR	0.008450076	0.07028952	0.66327685
1561019891188	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.759998	-33.84	-164.34
1561019891188	TYPE_GYROSCOPE_UNCALIBRATED	1.1252136	-0.15026855	-0.15577698
1561019891188	TYPE_ACCELEROMETER_UNCALIBRATED	-0.21655273	0.16630554	13.368698
1561019891208	TYPE_ACCELEROMETER	-1.3363953	0.38883972	9.422943
1561019891208	TYPE_MAGNETIC_FIELD	26.82	1.92	-16.619999
1561019891208	TYPE_GYROSCOPE	1.3672485	0.030303955	-0.147995
1561019891208	TYPE_ROTATION_VECTOR	0.016292688	0.073799975	0.662654
1561019891208	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.88	-33.72	-164.28
1561019891208	TYPE_GYROSCOPE_UNCALIBRATED	1.361618	0.073913574	-0.21868896
1561019891208	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9834442	0.32662964	10.473389
1561019891227	TYPE_ACCELEROMETER	-1.7706909	0.5108795	8.165512
1561019891227	TYPE_MAGNETIC_FIELD	26.939999	1.8	-16.32
1561019891227	TYPE_GYROSCOPE	1.2212372	0.15797424	-0.10522461
1561019891227	TYPE_ROTATION_VECTOR	0.026294537	0.08165993	0.6606686
1561019891227	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.999998	-33.84	-163.98001
