#	startTime:1561020081800
#	SiteID:5cd969be39e2fc0b4afe732d	SiteName:东方商厦(青浦店)	FloorId:5cd969c339e2fc0b4afe7770	FloorName:F3
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561020081802	TYPE_WAYPOINT	34.539856	33.633484
1561020081979	TYPE_ACCELEROMETER	1.4225311	2.8881378	8.571091
1561020081979	TYPE_MAGNETIC_FIELD	-5.2799997	-26.4	-19.92
1561020081979	TYPE_GYROSCOPE	0.09664917	-0.01550293	-0.14372253
1561020081979	TYPE_ROTATION_VECTOR	-0.06237937	-0.15389249	-0.98356205
1561020081979	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-2.2199998	-62.04	-167.58
1561020081979	TYPE_GYROSCOPE_UNCALIBRATED	0.042755127	0.030532837	-0.15760803
1561020081979	TYPE_ACCELEROMETER_UNCALIBRATED	1.4225311	2.8881378	8.571091
1561020081999	TYPE_ACCELEROMETER	1.380661	3.1322021	8.175079
1561020081999	TYPE_MAGNETIC_FIELD	-5.16	-26.34	-19.56
1561020081999	TYPE_GYROSCOPE	0.061828613	0.06636047	-0.1822052
1561020081999	TYPE_ROTATION_VECTOR	-0.07631082	-0.17263685	-0.9817774
1561020081999	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-2.1	-61.98	-167.22
1561020081999	TYPE_GYROSCOPE_UNCALIBRATED	0.09101868	0.02810669	-0.2144165
1561020081999	TYPE_ACCELEROMETER_UNCALIBRATED	1.380661	3.1322021	8.175079
1561020082019	TYPE_ACCELEROMETER	1.0540466	3.3332062	8.312668
1561020082019	TYPE_MAGNETIC_FIELD	-5.16	-26.099998	-19.38
1561020082019	TYPE_GYROSCOPE	-0.0597229	0.18363953	-0.17854309
1561020082019	TYPE_ROTATION_VECTOR	-0.06286076	-0.18928456	-0.9790307
1561020082019	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-2.1	-61.739998	-167.04001
1561020082019	TYPE_GYROSCOPE_UNCALIBRATED	-0.06535339	0.22724915	-0.24923706
1561020082019	TYPE_ACCELEROMETER_UNCALIBRATED	1.0540466	3.3332062	8.312668
1561020082038	TYPE_ACCELEROMETER	0.84706116	3.3667145	8.817551
1561020082038	TYPE_MAGNETIC_FIELD	-5.1	-25.98	-19.38
1561020082038	TYPE_GYROSCOPE	-0.22953796	0.2392273	-0.11256409
1561020082038	TYPE_ROTATION_VECTOR	-0.03921454	-0.1885738	-0.97971916
1561020082038	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-2.04	-61.62	-167.04001
1561020082038	TYPE_GYROSCOPE_UNCALIBRATED	-0.23516846	0.2828369	-0.18325806
1561020082038	TYPE_ACCELEROMETER_UNCALIBRATED	0.84706116	3.3667145	8.817551
1561020082058	TYPE_ACCELEROMETER	0.70947266	3.247055	9.552155
1561020082058	TYPE_MAGNETIC_FIELD	-4.98	-25.68	-19.32
1561020082058	TYPE_GYROSCOPE	-0.400589	0.20135498	-0.055755615
1561020082058	TYPE_ROTATION_VECTOR	-0.027733035	-0.17413254	-0.9822764
1561020082058	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-1.9200001	-61.32	-166.98001
1561020082058	TYPE_GYROSCOPE_UNCALIBRATED	-0.23516846	0.2828369	-0.18325806
1561020082058	TYPE_ACCELEROMETER_UNCALIBRATED	0.70947266	3.247055	9.552155
1561020082078	TYPE_ACCELEROMETER	0.64845276	3.016159	10.308289
1561020082078	TYPE_MAGNETIC_FIELD	-4.98	-25.5	-18.96
1561020082078	TYPE_GYROSCOPE	-0.5093231	0.11705017	-0.022155762
1561020082078	TYPE_ROTATION_VECTOR	-0.025599385	-0.17094223	-0.98292494
1561020082078	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-1.9200001	-61.14	-166.62
1561020082078	TYPE_GYROSCOPE_UNCALIBRATED	-0.5149536	0.16065979	-0.09284973
1561020082078	TYPE_ACCELEROMETER_UNCALIBRATED	0.64845276	3.016159	10.308289
1561020082097	TYPE_ACCELEROMETER	0.66760254	2.8199463	10.867004
1561020082097	TYPE_MAGNETIC_FIELD	-4.8599997	-25.38	-18.779999
1561020082097	TYPE_GYROSCOPE	-0.5123749	-0.008178711	-0.011169434
1561020082097	TYPE_ROTATION_VECTOR	-0.024236055	-0.16635408	-0.98375785
1561020082097	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-1.7999997	-61.019997	-166.44
1561020082097	TYPE_GYROSCOPE_UNCALIBRATED	-0.5180054	0.03543091	-0.0818634
1561020082097	TYPE_ACCELEROMETER_UNCALIBRATED	0.66760254	2.8199463	10.867004
1561020082117	TYPE_ACCELEROMETER	0.8805542	2.6739807	10.853851
1561020082117	TYPE_MAGNETIC_FIELD	-4.56	-25.439999	-18.84
1561020082117	TYPE_GYROSCOPE	-0.3847046	-0.13644409	-0.027664185
1561020082117	TYPE_ROTATION_VECTOR	-0.023965456	-0.1612396	-0.9846271
1561020082117	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-1.5	-61.079998	-166.5
1561020082117	TYPE_GYROSCOPE_UNCALIBRATED	-0.39033508	-0.09283447	-0.098358154
1561020082117	TYPE_ACCELEROMETER_UNCALIBRATED	0.8805542	2.6739807	10.853851
1561020082137	TYPE_ACCELEROMETER	1.0708008	2.6045837	10.199402
1561020082137	TYPE_MAGNETIC_FIELD	-4.44	-25.199999	-19.02
1561020082137	TYPE_GYROSCOPE	-0.18006897	-0.23051453	-0.07774353
1561020082137	TYPE_ROTATION_VECTOR	-0.024944885	-0.15680328	-0.98534167
1561020082137	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-1.3800001	-60.839996	-166.68001
1561020082137	TYPE_GYROSCOPE_UNCALIBRATED	-0.18569946	-0.1869049	-0.1484375
1561020082137	TYPE_ACCELEROMETER_UNCALIBRATED	1.0708008	2.6045837	10.199402
1561020082156	TYPE_ACCELEROMETER	1.0983124	2.6273193	9.171692
1561020082156	TYPE_MAGNETIC_FIELD	-4.44	-24.84	-19.32
