#	startTime:1561020135050
#	SiteID:5cd969be39e2fc0b4afe732d	SiteName:东方商厦(青浦店)	FloorId:5cd969c339e2fc0b4afe7770	FloorName:F3
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561020135051	TYPE_WAYPOINT	62.978703	48.95987
1561020135167	TYPE_ACCELEROMETER	1.5122681	2.9946136	9.643082
1561020135167	TYPE_MAGNETIC_FIELD	20.4	12.66	-28.14
1561020135167	TYPE_GYROSCOPE	-0.15560913	0.18486023	1.1457977
1561020135167	TYPE_ROTATION_VECTOR	0.16594608	-0.0065808445	0.41897368
1561020135167	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.4	-25.8	-167.51999
1561020135167	TYPE_GYROSCOPE_UNCALIBRATED	-0.16123962	0.22846985	1.0751038
1561020135167	TYPE_ACCELEROMETER_UNCALIBRATED	1.5684967	3.020935	9.663422
1561020135187	TYPE_ACCELEROMETER	1.6797638	3.0400848	9.635895
1561020135187	TYPE_MAGNETIC_FIELD	20.699999	12.84	-28.199999
1561020135187	TYPE_GYROSCOPE	-0.021850586	0.2746582	0.884964
1561020135187	TYPE_ROTATION_VECTOR	0.16809586	-0.0078116017	0.4221302
1561020135187	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.699999	-25.619999	-167.57999
1561020135187	TYPE_GYROSCOPE_UNCALIBRATED	-0.16123962	0.22846985	1.0751038
1561020135187	TYPE_ACCELEROMETER_UNCALIBRATED	1.8376923	3.0604248	9.552155
1561020135207	TYPE_ACCELEROMETER	1.9824677	3.0963135	9.49353
1561020135207	TYPE_MAGNETIC_FIELD	20.82	12.96	-28.32
1561020135207	TYPE_GYROSCOPE	0.10765076	0.3583374	0.5783081
1561020135207	TYPE_ROTATION_VECTOR	0.17663969	-0.016532969	0.42716846
1561020135207	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.82	-25.5	-167.69998
1561020135207	TYPE_GYROSCOPE_UNCALIBRATED	0.07635498	0.38728333	0.46362305
1561020135207	TYPE_ACCELEROMETER_UNCALIBRATED	2.0267334	3.1082764	9.5234375
1561020135226	TYPE_ACCELEROMETER	1.9429779	3.073578	9.669403
1561020135226	TYPE_MAGNETIC_FIELD	21.0	12.96	-28.5
1561020135226	TYPE_GYROSCOPE	0.039230347	0.35528564	0.48849487
1561020135226	TYPE_ROTATION_VECTOR	0.1829089	-0.021497034	0.4350678
1561020135226	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.0	-25.5	-167.87999
1561020135226	TYPE_GYROSCOPE_UNCALIBRATED	0.07635498	0.38728333	0.46362305
1561020135226	TYPE_ACCELEROMETER_UNCALIBRATED	1.7635193	3.0125732	10.00798
