#	startTime:1561020179749
#	SiteID:5cd969be39e2fc0b4afe732d	SiteName:东方商厦(青浦店)	FloorId:5cd969c339e2fc0b4afe7770	FloorName:F3
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561020179750	TYPE_WAYPOINT	17.58905	53.471344
1561020179891	TYPE_ACCELEROMETER	0.53359985	2.8115692	9.446869
1561020179891	TYPE_MAGNETIC_FIELD	6.06	-17.88	-23.699999
1561020179891	TYPE_GYROSCOPE	-0.26802063	0.26182556	1.7334442
1561020179891	TYPE_ROTATION_VECTOR	0.057929814	0.12322104	0.9519814
1561020179891	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.059999	-56.339996	-163.07999
1561020179891	TYPE_GYROSCOPE_UNCALIBRATED	-0.27365112	0.30543518	1.6627502
1561020179891	TYPE_ACCELEROMETER_UNCALIBRATED	0.46540833	2.7792664	9.553345
1561020179911	TYPE_ACCELEROMETER	0.55992126	2.8833618	9.4696045
1561020179911	TYPE_MAGNETIC_FIELD	5.8799996	-17.82	-23.64
1561020179911	TYPE_GYROSCOPE	-0.18495178	0.1756897	1.0895996
1561020179911	TYPE_ROTATION_VECTOR	0.06810787	0.12975618	0.94580925
1561020179911	TYPE_MAGNETIC_FIELD_UNCALIBRATED	8.879999	-56.28	-163.01999
1561020179911	TYPE_GYROSCOPE_UNCALIBRATED	-0.10810852	0.14294434	0.3695526
1561020179911	TYPE_ACCELEROMETER_UNCALIBRATED	0.5742798	2.851059	9.440887
1561020179931	TYPE_ACCELEROMETER	0.5694885	2.9156647	9.41098
1561020179931	TYPE_MAGNETIC_FIELD	5.46	-17.94	-23.46
1561020179931	TYPE_GYROSCOPE	-0.09942627	0.11705017	0.4298706
1561020179931	TYPE_ROTATION_VECTOR	0.05566249	0.13824527	0.9707264
1561020179931	TYPE_MAGNETIC_FIELD_UNCALIBRATED	8.46	-56.4	-162.84
1561020179931	TYPE_GYROSCOPE_UNCALIBRATED	-0.094055176	0.16798401	0.3524475
1561020179931	TYPE_ACCELEROMETER_UNCALIBRATED	0.54437256	2.8977203	9.468399
1561020179950	TYPE_ACCELEROMETER	0.6257324	2.9491577	9.180069
1561020179950	TYPE_MAGNETIC_FIELD	4.92	-18.06	-23.46
1561020179950	TYPE_GYROSCOPE	-0.07499695	0.118270874	0.41947937
1561020179950	TYPE_ROTATION_VECTOR	0.054360572	0.14223853	0.9731163
1561020179950	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.92	-56.519997	-162.84
1561020179950	TYPE_GYROSCOPE_UNCALIBRATED	-0.07633972	0.12583923	0.30786133
1561020179950	TYPE_ACCELEROMETER_UNCALIBRATED	0.6089783	2.933609	9.300903
1561020179970	TYPE_ACCELEROMETER	0.68315125	3.0197449	8.965912
1561020179970	TYPE_MAGNETIC_FIELD	4.92	-18.06	-23.46
1561020179970	TYPE_GYROSCOPE	-0.06460571	0.09260559	0.3968811
1561020179970	TYPE_ROTATION_VECTOR	0.054360572	0.14223853	0.9731163
1561020179970	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.92	-56.519997	-162.84
1561020179970	TYPE_GYROSCOPE_UNCALIBRATED	-0.07633972	0.12583923	0.30786133
1561020179970	TYPE_ACCELEROMETER_UNCALIBRATED	0.6496582	2.9814606	9.067596
1561020179990	TYPE_ACCELEROMETER	0.7130585	3.0305176	8.866608
1561020179990	TYPE_MAGNETIC_FIELD	4.62	-17.94	-23.46
1561020179990	TYPE_GYROSCOPE	-0.08049011	0.06695557	0.3602295
1561020179990	TYPE_ROTATION_VECTOR	0.054360572	0.14223853	0.9731163
1561020179990	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.92	-56.519997	-162.84
1561020179990	TYPE_GYROSCOPE_UNCALIBRATED	-0.097732544	0.09651184	0.27365112
1561020179990	TYPE_ACCELEROMETER_UNCALIBRATED	0.6963043	3.0388947	8.89772
1561020180009	TYPE_ACCELEROMETER	0.82432556	2.941986	8.918045
1561020180009	TYPE_MAGNETIC_FIELD	4.62	-17.94	-23.46
1561020180009	TYPE_GYROSCOPE	-0.10003662	0.049240112	0.33151245
1561020180009	TYPE_ROTATION_VECTOR	0.06769777	0.14908993	0.9670689
1561020180009	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.62	-56.4	-162.84
1561020180009	TYPE_GYROSCOPE_UNCALIBRATED	-0.10688782	0.10751343	0.25105286
1561020180009	TYPE_ACCELEROMETER_UNCALIBRATED	0.75971985	2.9910278	8.864212
1561020180029	TYPE_ACCELEROMETER	0.89611816	2.8031921	9.254242
1561020180029	TYPE_MAGNETIC_FIELD	4.56	-18.359999	-23.64
1561020180029	TYPE_GYROSCOPE	-0.09942627	0.10972595	0.31381226
1561020180029	TYPE_ROTATION_VECTOR	0.06752358	0.14808966	0.9678906
1561020180029	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.56	-56.82	-163.01999
1561020180029	TYPE_GYROSCOPE_UNCALIBRATED	-0.10932922	0.35736084	0.18507385
1561020180029	TYPE_ACCELEROMETER_UNCALIBRATED	0.8841553	2.8821564	9.058029
1561020180049	TYPE_ACCELEROMETER	0.69392395	2.6153564	9.789047
1561020180049	TYPE_MAGNETIC_FIELD	4.38	-18.72	-23.64
1561020180049	TYPE_GYROSCOPE	-0.09881592	0.26426697	0.28448486
1561020180049	TYPE_ROTATION_VECTOR	0.06719501	0.14703365	0.9686795
1561020180049	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.38	-57.18	-163.01999
1561020180049	TYPE_GYROSCOPE_UNCALIBRATED	-0.10932922	0.35736084	0.18507385
1561020180049	TYPE_ACCELEROMETER_UNCALIBRATED	0.8267212	2.7134705	9.49472
1561020180068	TYPE_ACCELEROMETER	0.33857727	2.4574432	10.686356
1561020180068	TYPE_MAGNETIC_FIELD	4.2599998	-18.48	-23.76
1561020180068	TYPE_GYROSCOPE	-0.11714172	0.34490967	0.22033691
1561020180068	TYPE_ROTATION_VECTOR	0.06568396	0.14624181	0.96949893
1561020180068	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.2599998	-56.94	-163.13998
1561020180068	TYPE_GYROSCOPE_UNCALIBRATED	-0.14414978	0.41966248	0.113601685
1561020180068	TYPE_ACCELEROMETER_UNCALIBRATED	0.5204468	2.5076904	10.185059
1561020180088	TYPE_ACCELEROMETER	-0.117248535	2.4753723	11.757141
1561020180088	TYPE_MAGNETIC_FIELD	4.02	-18.66	-23.76
1561020180088	TYPE_GYROSCOPE	-0.16355896	0.40538025	0.1519165
1561020180088	TYPE_ROTATION_VECTOR	0.06288277	0.14565839	0.9703073
1561020180088	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.02	-57.12	-163.13998
1561020180088	TYPE_GYROSCOPE_UNCALIBRATED	-0.19363403	0.46180725	0.054351807
1561020180088	TYPE_ACCELEROMETER_UNCALIBRATED	0.15074158	2.472992	11.231918
1561020180108	TYPE_ACCELEROMETER	-0.8016052	2.280365	12.756134
1561020180108	TYPE_MAGNETIC_FIELD	4.08	-18.779999	-23.76
1561020180108	TYPE_GYROSCOPE	-0.21000671	0.41575623	0.107940674
1561020180108	TYPE_ROTATION_VECTOR	0.059321404	0.14489901	0.9710586
1561020180108	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.08	-57.239998	-163.13998
1561020180108	TYPE_GYROSCOPE_UNCALIBRATED	-0.23944092	0.4563141	0.036636353
1561020180108	TYPE_ACCELEROMETER_UNCALIBRATED	-0.47257996	2.4083862	12.236893
1561020180127	TYPE_ACCELEROMETER	-1.1030884	1.8448792	14.003998
1561020180127	TYPE_MAGNETIC_FIELD	4.38	-18.96	-24.0
1561020180127	TYPE_GYROSCOPE	-0.26496887	0.40904236	0.1317749
1561020180127	TYPE_ROTATION_VECTOR	0.05098943	0.14221223	0.9725104
1561020180127	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.38	-57.239998	-163.31999
1561020180127	TYPE_GYROSCOPE_UNCALIBRATED	-0.29014587	0.34513855	0.24432373
1561020180127	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0085754	2.123642	13.384262
1561020180147	TYPE_ACCELEROMETER	-0.88534546	0.98464966	15.011383
1561020180147	TYPE_MAGNETIC_FIELD	4.38	-18.96	-24.0
1561020180147	TYPE_GYROSCOPE	-0.30467224	0.35406494	0.2447815
1561020180147	TYPE_ROTATION_VECTOR	0.04698022	0.13999279	0.97341835
1561020180147	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.38	-57.42	-163.37999
