#	startTime:1561020331382
#	SiteID:5cd969be39e2fc0b4afe732d	SiteName:东方商厦(青浦店)	FloorId:5cd969c339e2fc0b4afe7770	FloorName:F3
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561020331382	TYPE_WAYPOINT	16.741014	23.648396
1561020331518	TYPE_ACCELEROMETER	0.14715576	3.2530518	10.083359
1561020331518	TYPE_MAGNETIC_FIELD	-30.96	-5.22	-33.78
1561020331518	TYPE_GYROSCOPE	0.0945282	-0.42660522	-1.7499847
1561020331518	TYPE_ROTATION_VECTOR	0.119952545	-0.104844995	-0.6278728
1561020331518	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-29.519999	-38.34	-171.54
1561020331518	TYPE_GYROSCOPE_UNCALIBRATED	-0.05831909	-0.10079956	-0.53115845
1561020331518	TYPE_ACCELEROMETER_UNCALIBRATED	0.14715576	3.2530518	10.083359
1561020331538	TYPE_ACCELEROMETER	0.31106567	3.1752777	10.220947
1561020331538	TYPE_MAGNETIC_FIELD	-31.019999	-5.1	-33.719997
1561020331538	TYPE_GYROSCOPE	-0.11164856	0.002822876	0.17330933
1561020331538	TYPE_ROTATION_VECTOR	0.11132314	-0.103866875	-0.62663853
1561020331538	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-29.579998	-38.219997	-171.48
1561020331538	TYPE_GYROSCOPE_UNCALIBRATED	-0.05831909	-0.10079956	-0.53115845
1561020331538	TYPE_ACCELEROMETER_UNCALIBRATED	0.31106567	3.1752777	10.220947
1561020331558	TYPE_ACCELEROMETER	0.46899414	3.056839	10.37529
1561020331558	TYPE_MAGNETIC_FIELD	-30.96	-4.98	-33.48
1561020331558	TYPE_GYROSCOPE	-0.07621765	0.010757446	0.11100769
1561020331558	TYPE_ROTATION_VECTOR	0.09933077	-0.108880654	-0.63659304
1561020331558	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-29.519999	-38.1	-171.23999
1561020331558	TYPE_GYROSCOPE_UNCALIBRATED	-0.094680786	0.05619812	0.07572937
1561020331558	TYPE_ACCELEROMETER_UNCALIBRATED	0.46899414	3.056839	10.37529
1561020331577	TYPE_ACCELEROMETER	0.52163696	2.9503632	10.439896
1561020331577	TYPE_MAGNETIC_FIELD	-31.14	-5.16	-33.36
1561020331577	TYPE_GYROSCOPE	-0.07070923	-0.021011353	0.02243042
1561020331577	TYPE_ROTATION_VECTOR	0.08756402	-0.10997623	-0.663841
1561020331577	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-29.699999	-38.28	-171.12
1561020331577	TYPE_GYROSCOPE_UNCALIBRATED	-0.07572937	0.04031372	-0.0018310547
1561020331577	TYPE_ACCELEROMETER_UNCALIBRATED	0.52163696	2.9503632	10.439896
1561020331597	TYPE_ACCELEROMETER	0.24287415	2.7290192	10.532013
1561020331597	TYPE_MAGNETIC_FIELD	-31.32	-5.16	-33.18
