#	startTime:1561020497805
#	SiteID:5cd969be39e2fc0b4afe732d	SiteName:东方商厦(青浦店)	FloorId:5cd969c439e2fc0b4afe7899	FloorName:F4
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561020497806	TYPE_WAYPOINT	63.456787	49.738594
1561020497925	TYPE_ACCELEROMETER	0.79441833	3.1740875	8.647659
1561020497925	TYPE_MAGNETIC_FIELD	24.84	5.94	-28.68
1561020497925	TYPE_GYROSCOPE	-0.26068115	0.435318	1.5648499
1561020497925	TYPE_ROTATION_VECTOR	0.1681637	0.058631923	0.4983014
1561020497925	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.460001	-28.799997	-168.6
1561020497925	TYPE_GYROSCOPE_UNCALIBRATED	-0.26631165	0.4789276	1.4941559
1561020497925	TYPE_ACCELEROMETER_UNCALIBRATED	0.79441833	3.1740875	8.647659
1561020497945	TYPE_ACCELEROMETER	0.8183441	3.1178436	8.846268
1561020497945	TYPE_MAGNETIC_FIELD	25.08	5.7	-28.859999
1561020497945	TYPE_GYROSCOPE	-0.24664307	0.15126038	0.48728943
1561020497945	TYPE_ROTATION_VECTOR	0.17117323	0.05624777	0.5232762
1561020497945	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.7	-29.039997	-168.78
1561020497945	TYPE_GYROSCOPE_UNCALIBRATED	-0.26631165	0.4789276	1.4941559
1561020497945	TYPE_ACCELEROMETER_UNCALIBRATED	0.79441833	3.1740875	8.647659
1561020497965	TYPE_ACCELEROMETER	0.6723938	3.0544434	8.995819
1561020497965	TYPE_MAGNETIC_FIELD	25.199999	5.46	-29.16
1561020497965	TYPE_GYROSCOPE	-0.2741394	0.26792908	0.45307922
1561020497965	TYPE_ROTATION_VECTOR	0.16537094	0.051787965	0.52425563
1561020497965	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.82	-29.279999	-169.08
1561020497965	TYPE_GYROSCOPE_UNCALIBRATED	-0.25837708	0.32131958	0.9590454
1561020497965	TYPE_ACCELEROMETER_UNCALIBRATED	0.6723938	3.0544434	8.995819
1561020497984	TYPE_ACCELEROMETER	0.36491394	2.9694977	9.168106
1561020497984	TYPE_MAGNETIC_FIELD	25.68	5.64	-29.16
1561020497984	TYPE_GYROSCOPE	-0.33766174	0.30030823	0.42314148
1561020497984	TYPE_ROTATION_VECTOR	0.15710755	0.053861715	0.51387626
1561020497984	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.300001	-29.099998	-169.08
1561020497984	TYPE_GYROSCOPE_UNCALIBRATED	-0.25961304	0.25534058	0.4013214
1561020497984	TYPE_ACCELEROMETER_UNCALIBRATED	0.36491394	2.9694977	9.168106
1561020498004	TYPE_ACCELEROMETER	0.2859497	2.9707031	9.320053
1561020498004	TYPE_MAGNETIC_FIELD	26.039999	5.46	-29.16
1561020498004	TYPE_GYROSCOPE	-0.4066925	0.18974304	0.42314148
1561020498004	TYPE_ROTATION_VECTOR	0.14144215	0.0681457	0.53122854
1561020498004	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.66	-29.279999	-169.08
1561020498004	TYPE_GYROSCOPE_UNCALIBRATED	-0.3109131	0.3481903	0.36283875
1561020498004	TYPE_ACCELEROMETER_UNCALIBRATED	0.2859497	2.9707031	9.320053
1561020498024	TYPE_ACCELEROMETER	0.42951965	2.925232	9.61795
1561020498024	TYPE_MAGNETIC_FIELD	26.4	5.22	-29.22
1561020498024	TYPE_GYROSCOPE	-0.43417358	0.06512451	0.4115448
1561020498024	TYPE_ROTATION_VECTOR	0.13621964	0.071513616	0.5376851
1561020498024	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.02	-29.519999	-169.14
1561020498024	TYPE_GYROSCOPE_UNCALIBRATED	-0.3768921	0.2987213	0.3512268
1561020498024	TYPE_ACCELEROMETER_UNCALIBRATED	0.42951965	2.925232	9.61795
1561020498043	TYPE_ACCELEROMETER	0.53359985	2.9371948	9.672989
1561020498043	TYPE_MAGNETIC_FIELD	26.699999	5.04	-29.279999
1561020498043	TYPE_GYROSCOPE	-0.3529358	0.03642273	0.3846588
1561020498043	TYPE_ROTATION_VECTOR	0.13205919	0.062404305	0.54784364
1561020498043	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.32	-29.699997	-169.2
1561020498043	TYPE_GYROSCOPE_UNCALIBRATED	-0.43858337	0.1655426	0.3500061
1561020498043	TYPE_ACCELEROMETER_UNCALIBRATED	0.42951965	2.925232	9.61795
1561020498063	TYPE_ACCELEROMETER	0.5491638	3.0257263	9.326035
