#	startTime:1561020448586
#	SiteID:5cd969be39e2fc0b4afe732d	SiteName:东方商厦(青浦店)	FloorId:5cd969c439e2fc0b4afe7899	FloorName:F4
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561020448587	TYPE_WAYPOINT	33.75369	35.247093
1561020448781	TYPE_ACCELEROMETER	0.8123627	2.0195465	9.08197
1561020448781	TYPE_MAGNETIC_FIELD	-6.6	-29.279999	-22.56
1561020448781	TYPE_GYROSCOPE	0.10765076	0.16592407	-0.07836914
1561020448781	TYPE_ROTATION_VECTOR	-0.027313534	-0.11145485	-0.9905869
1561020448781	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-4.98	-64.02	-162.48
1561020448781	TYPE_GYROSCOPE_UNCALIBRATED	0.12950134	0.20097351	-0.14477539
1561020448781	TYPE_ACCELEROMETER_UNCALIBRATED	0.7417755	2.0326996	9.114273
1561020448801	TYPE_ACCELEROMETER	0.85543823	2.0374908	9.029327
1561020448801	TYPE_MAGNETIC_FIELD	-6.06	-28.98	-22.56
1561020448801	TYPE_GYROSCOPE	0.042282104	0.1427002	-0.10217285
1561020448801	TYPE_ROTATION_VECTOR	-0.03631744	-0.1111074	-0.9912438
1561020448801	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-4.44	-63.719997	-162.48
1561020448801	TYPE_GYROSCOPE_UNCALIBRATED	0.12950134	0.20097351	-0.14477539
1561020448801	TYPE_ACCELEROMETER_UNCALIBRATED	0.84706116	2.0183563	9.04248
1561020448821	TYPE_ACCELEROMETER	0.8542328	2.0805664	9.133408
1561020448821	TYPE_MAGNETIC_FIELD	-6.0	-28.98	-22.32
1561020448821	TYPE_GYROSCOPE	-0.029174805	0.11949158	-0.1308899
1561020448821	TYPE_ROTATION_VECTOR	-0.03631543	-0.11330526	-0.989447
1561020448821	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-4.38	-63.719997	-162.23999
1561020448821	TYPE_GYROSCOPE_UNCALIBRATED	0.070251465	0.20280457	-0.15943909
1561020448821	TYPE_ACCELEROMETER_UNCALIBRATED	0.86979675	2.062622	9.047272
1561020448840	TYPE_ACCELEROMETER	0.722641	2.115265	9.402603
1561020448840	TYPE_MAGNETIC_FIELD	-5.8199997	-28.859999	-22.26
1561020448840	TYPE_GYROSCOPE	-0.06338501	0.10116577	-0.14677429
1561020448840	TYPE_ROTATION_VECTOR	-0.034628827	-0.11477128	-0.9891003
1561020448840	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-4.2	-63.6	-162.18
1561020448840	TYPE_GYROSCOPE_UNCALIBRATED	0.0012359619	0.17225647	-0.18692017
1561020448840	TYPE_ACCELEROMETER_UNCALIBRATED	0.78604126	2.0985107	9.28775
1561020448860	TYPE_ACCELEROMETER	0.68196106	2.0614166	9.506683
1561020448860	TYPE_MAGNETIC_FIELD	-5.64	-28.859999	-22.26
1561020448860	TYPE_GYROSCOPE	-0.058502197	0.12438965	-0.14006042
1561020448860	TYPE_ROTATION_VECTOR	-0.03334476	-0.114436924	-0.98928106
1561020448860	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-4.02	-63.6	-162.18
1561020448860	TYPE_GYROSCOPE_UNCALIBRATED	-0.06840515	0.15272522	-0.2156372
1561020448860	TYPE_ACCELEROMETER_UNCALIBRATED	0.69273376	2.1044922	9.4696045
1561020448880	TYPE_ACCELEROMETER	0.77407837	2.042282	9.457642
1561020448880	TYPE_MAGNETIC_FIELD	-5.64	-28.98	-22.199999
1561020448880	TYPE_GYROSCOPE	-0.056045532	0.14515686	-0.14128113
1561020448880	TYPE_ROTATION_VECTOR	-0.03224948	-0.11378672	-0.989505
1561020448880	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-4.02	-63.719997	-162.12
1561020448880	TYPE_GYROSCOPE_UNCALIBRATED	-0.06840515	0.15272522	-0.2156372
1561020448880	TYPE_ACCELEROMETER_UNCALIBRATED	0.7154541	2.033905	9.506683
1561020448899	TYPE_ACCELEROMETER	0.8147583	2.099701	9.401398
1561020448899	TYPE_MAGNETIC_FIELD	-5.3399997	-28.859999	-22.08
1561020448899	TYPE_GYROSCOPE	-0.08721924	0.11705017	-0.1638794
1561020448899	TYPE_ROTATION_VECTOR	-0.030934539	-0.11316132	-0.9897219
1561020448899	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-3.7199998	-63.6	-162.0
1561020448899	TYPE_GYROSCOPE_UNCALIBRATED	-0.05923462	0.18203735	-0.20770264
1561020448899	TYPE_ACCELEROMETER_UNCALIBRATED	0.8003998	2.0650024	9.406189
1561020448919	TYPE_ACCELEROMETER	0.93559265	2.2133636	9.4743805
1561020448919	TYPE_MAGNETIC_FIELD	-5.22	-29.099998	-22.02
1561020448919	TYPE_GYROSCOPE	-0.112854004	0.059631348	-0.19075012
1561020448919	TYPE_ROTATION_VECTOR	-0.029413775	-0.112543404	-0.98993945
1561020448919	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-3.6	-63.839996	-161.94
1561020448919	TYPE_GYROSCOPE_UNCALIBRATED	-0.07450867	0.18144226	-0.22235107
1561020448919	TYPE_ACCELEROMETER_UNCALIBRATED	0.8685913	2.1559448	9.426529
1561020448939	TYPE_ACCELEROMETER	1.0887299	2.3126678	9.450455
1561020448939	TYPE_MAGNETIC_FIELD	-5.16	-29.16	-22.08
1561020448939	TYPE_GYROSCOPE	-0.08781433	-0.012451172	-0.22741699
1561020448939	TYPE_ROTATION_VECTOR	-0.02816264	-0.11165237	-0.9901965
1561020448939	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-3.54	-63.899998	-162.0
1561020448939	TYPE_GYROSCOPE_UNCALIBRATED	-0.109939575	0.1337738	-0.2467804
1561020448939	TYPE_ACCELEROMETER_UNCALIBRATED	0.9990082	2.2564392	9.500702
1561020448958	TYPE_ACCELEROMETER	1.3220367	2.5172577	9.152542
1561020448958	TYPE_MAGNETIC_FIELD	-4.8599997	-29.099998	-21.96
1561020448958	TYPE_GYROSCOPE	-0.032852173	-0.060699463	-0.25856018
1561020448958	TYPE_ROTATION_VECTOR	-0.027458975	-0.11056268	-0.9904819
1561020448958	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-3.2399998	-63.839996	-161.88
1561020448958	TYPE_GYROSCOPE_UNCALIBRATED	-0.065963745	1.5258789E-5	-0.3139801
1561020448958	TYPE_ACCELEROMETER_UNCALIBRATED	1.2059784	2.403595	9.324829
1561020448978	TYPE_ACCELEROMETER	1.3339996	2.6632233	8.787643
1561020448978	TYPE_MAGNETIC_FIELD	-4.74	-29.099998	-22.199999
1561020448978	TYPE_GYROSCOPE	-0.0071868896	-0.027709961	-0.28359985
