#	startTime:1561020538370
#	SiteID:5cd969be39e2fc0b4afe732d	SiteName:东方商厦(青浦店)	FloorId:5cd969c439e2fc0b4afe7899	FloorName:F4
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561020538371	TYPE_WAYPOINT	17.906593	53.565857
1561020538499	TYPE_ACCELEROMETER	0.5276184	2.4095764	8.111679
1561020538499	TYPE_MAGNETIC_FIELD	16.44	-18.24	-16.08
1561020538499	TYPE_GYROSCOPE	-0.13975525	0.006790161	1.0556946
1561020538499	TYPE_ROTATION_VECTOR	0.05482326	0.11227327	0.8988788
1561020538499	TYPE_MAGNETIC_FIELD_UNCALIBRATED	19.26	-55.92	-163.14
1561020538499	TYPE_GYROSCOPE_UNCALIBRATED	-0.14538574	0.05039978	0.9850006
1561020538499	TYPE_ACCELEROMETER_UNCALIBRATED	0.29910278	2.4299164	8.682358
1561020538519	TYPE_ACCELEROMETER	0.9104767	2.432312	7.696518
1561020538519	TYPE_MAGNETIC_FIELD	16.199999	-18.539999	-15.96
1561020538519	TYPE_GYROSCOPE	0.27929688	0.059631348	0.81044006
1561020538519	TYPE_ROTATION_VECTOR	0.08415229	0.11991847	0.9109917
1561020538519	TYPE_MAGNETIC_FIELD_UNCALIBRATED	19.019999	-56.22	-163.02
1561020538519	TYPE_GYROSCOPE_UNCALIBRATED	0.27366638	0.10324097	0.7397461
1561020538519	TYPE_ACCELEROMETER_UNCALIBRATED	0.74775696	2.4107819	7.7515564
1561020538539	TYPE_ACCELEROMETER	0.76930237	2.2636108	8.306686
1561020538539	TYPE_MAGNETIC_FIELD	15.96	-18.72	-15.719999
1561020538539	TYPE_GYROSCOPE	0.12536621	0.4255371	0.80921936
1561020538539	TYPE_ROTATION_VECTOR	0.11227553	0.11512722	0.9031489
1561020538539	TYPE_MAGNETIC_FIELD_UNCALIBRATED	18.78	-56.4	-162.78
1561020538539	TYPE_GYROSCOPE_UNCALIBRATED	0.11973572	0.46914673	0.7385254
1561020538539	TYPE_ACCELEROMETER_UNCALIBRATED	0.9152527	2.3892365	7.9369965
1561020538558	TYPE_ACCELEROMETER	0.57069397	2.1272278	9.0711975
1561020538558	TYPE_MAGNETIC_FIELD	15.9	-18.96	-15.719999
1561020538558	TYPE_GYROSCOPE	-0.05911255	0.50250244	0.79577637
1561020538558	TYPE_ROTATION_VECTOR	0.09513391	0.10233959	0.90265936
1561020538558	TYPE_MAGNETIC_FIELD_UNCALIBRATED	18.72	-56.64	-162.78
1561020538558	TYPE_GYROSCOPE_UNCALIBRATED	-0.06474304	0.54611206	0.7250824
1561020538558	TYPE_ACCELEROMETER_UNCALIBRATED	0.6221466	2.1619263	8.689529
1561020538578	TYPE_ACCELEROMETER	0.73220825	2.1511536	9.681366
1561020538578	TYPE_MAGNETIC_FIELD	15.839999	-19.199999	-15.48
1561020538578	TYPE_GYROSCOPE	-0.18493652	0.27037048	0.77134705
1561020538578	TYPE_ROTATION_VECTOR	0.072546974	0.093031354	0.9141532
1561020538578	TYPE_MAGNETIC_FIELD_UNCALIBRATED	18.66	-56.879997	-162.54
