#	startTime:1561020788076
#	SiteID:5cd969be39e2fc0b4afe732d	SiteName:东方商厦(青浦店)	FloorId:5cd969c639e2fc0b4afe7bbc	FloorName:F5
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561020788078	TYPE_WAYPOINT	34.308193	34.873775
1561020788258	TYPE_ACCELEROMETER	0.33021545	2.3844452	9.568909
1561020788258	TYPE_MAGNETIC_FIELD	-2.9399998	-33.899998	-22.199999
1561020788258	TYPE_GYROSCOPE	-0.20510864	-0.045425415	0.16474915
1561020788258	TYPE_ROTATION_VECTOR	-0.019403948	-0.12246027	-0.9918366
1561020788258	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.17999983	-66.479996	-158.4
1561020788258	TYPE_GYROSCOPE_UNCALIBRATED	-0.21073914	-0.0018157959	0.094055176
1561020788258	TYPE_ACCELEROMETER_UNCALIBRATED	0.30270386	2.396408	9.588043
1561020788278	TYPE_ACCELEROMETER	0.31466675	2.4215393	9.578476
1561020788278	TYPE_MAGNETIC_FIELD	-2.9399998	-33.96	-22.619999
1561020788278	TYPE_GYROSCOPE	-0.20692444	-0.03504944	0.1305542
1561020788278	TYPE_ROTATION_VECTOR	-0.012825252	-0.12232847	-0.99188465
1561020788278	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.17999983	-66.53999	-158.81999
1561020788278	TYPE_GYROSCOPE_UNCALIBRATED	-0.21255493	0.008560181	0.05986023
1561020788278	TYPE_ACCELEROMETER_UNCALIBRATED	0.324234	2.4574432	9.548553
1561020788298	TYPE_ACCELEROMETER	0.29551697	2.498108	9.512665
1561020788298	TYPE_MAGNETIC_FIELD	-2.9399998	-34.02	-23.039999
1561020788298	TYPE_GYROSCOPE	-0.18249512	0.007095337	0.11528015
1561020788298	TYPE_ROTATION_VECTOR	-0.0117807565	-0.12341094	-0.99173945
1561020788298	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.17999983	-66.6	-159.23999
1561020788298	TYPE_GYROSCOPE_UNCALIBRATED	-0.18812561	0.050704956	0.04458618
1561020788298	TYPE_ACCELEROMETER_UNCALIBRATED	0.324234	2.4574432	9.548553
1561020788317	TYPE_ACCELEROMETER	0.11605835	2.563919	9.456436
1561020788317	TYPE_MAGNETIC_FIELD	-2.9399998	-34.14	-23.34
1561020788317	TYPE_GYROSCOPE	-0.15501404	0.038864136	0.08352661
1561020788317	TYPE_ROTATION_VECTOR	-0.010174008	-0.12768617	-0.9911433
1561020788317	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.17999983	-66.72	-159.54
1561020788317	TYPE_GYROSCOPE_UNCALIBRATED	-0.1355896	0.08796692	-0.022598267
1561020788317	TYPE_ACCELEROMETER_UNCALIBRATED	0.013168335	2.6153564	9.458832
1561020788337	TYPE_ACCELEROMETER	-0.07537842	2.671585	9.474396
1561020788337	TYPE_MAGNETIC_FIELD	-3.0	-34.26	-24.0
1561020788337	TYPE_GYROSCOPE	-0.1299591	0.0443573	0.048095703
1561020788337	TYPE_ROTATION_VECTOR	-0.009846395	-0.1264064	-0.9912923
1561020788337	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.24000001	-66.84	-160.2
1561020788337	TYPE_GYROSCOPE_UNCALIBRATED	-0.1355896	0.08796692	-0.022598267
1561020788337	TYPE_ACCELEROMETER_UNCALIBRATED	-0.1531372	2.7146606	9.482758
1561020788357	TYPE_ACCELEROMETER	-0.23928833	2.7457733	9.481567
1561020788357	TYPE_MAGNETIC_FIELD	-3.0	-34.2	-23.939999
1561020788357	TYPE_GYROSCOPE	-0.09147644	0.051071167	0.037094116
1561020788357	TYPE_ROTATION_VECTOR	-0.009428206	-0.1254929	-0.99139744
1561020788357	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.24000001	-66.78	-160.14
1561020788357	TYPE_GYROSCOPE_UNCALIBRATED	-0.09710693	0.094680786	-0.033599854
1561020788357	TYPE_ACCELEROMETER_UNCALIBRATED	-0.1531372	2.7146606	9.482758
1561020788376	TYPE_ACCELEROMETER	-0.44148254	2.7972107	9.315262
1561020788376	TYPE_MAGNETIC_FIELD	-2.9399998	-34.2	-24.0
1561020788376	TYPE_GYROSCOPE	-0.02368164	0.05656433	0.043823242
1561020788376	TYPE_ROTATION_VECTOR	-0.008940306	-0.12523466	-0.9914167
1561020788376	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.17999983	-66.78	-160.2
