#	startTime:1561020877763
#	SiteID:5cd969be39e2fc0b4afe732d	SiteName:东方商厦(青浦店)	FloorId:5cd969c639e2fc0b4afe7bbc	FloorName:F5
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561020877763	TYPE_WAYPOINT	11.241784	49.088444
1561020877866	TYPE_ACCELEROMETER	0.496521	2.855835	9.333206
1561020877866	TYPE_MAGNETIC_FIELD	27.0	-8.639999	-32.579998
1561020877866	TYPE_GYROSCOPE	0.12168884	-0.36245728	0.115875244
1561020877866	TYPE_ROTATION_VECTOR	0.095617495	-0.13894595	-0.7494574
1561020877866	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.76	-41.219997	-168.78
1561020877866	TYPE_GYROSCOPE_UNCALIBRATED	0.11605835	-0.31884766	0.045181274
1561020877866	TYPE_ACCELEROMETER_UNCALIBRATED	0.5694885	2.904892	9.280563
1561020877886	TYPE_ACCELEROMETER	0.30508423	2.8067932	9.132217
1561020877886	TYPE_MAGNETIC_FIELD	-24.96	-20.699999	-28.98
1561020877886	TYPE_GYROSCOPE	0.09420776	0.1927948	0.59051514
1561020877886	TYPE_ROTATION_VECTOR	0.060116507	-0.1372556	-0.8255023
1561020877886	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-22.199999	-53.28	-165.18
1561020877886	TYPE_GYROSCOPE_UNCALIBRATED	0.08857727	0.23640442	0.51982117
1561020877886	TYPE_ACCELEROMETER_UNCALIBRATED	0.3972168	2.8151703	9.26741
1561020877906	TYPE_ACCELEROMETER	0.24406433	2.8654022	8.81636
1561020877906	TYPE_MAGNETIC_FIELD	-25.14	-20.76	-29.039999
1561020877906	TYPE_GYROSCOPE	0.102142334	0.40782166	0.7688904
1561020877906	TYPE_ROTATION_VECTOR	0.06669538	-0.13327709	-0.83265084
1561020877906	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-22.38	-53.339996	-165.23999
1561020877906	TYPE_GYROSCOPE_UNCALIBRATED	0.08857727	0.23640442	0.51982117
1561020877906	TYPE_ACCELEROMETER_UNCALIBRATED	0.2476654	2.8367004	8.9730835
1561020877925	TYPE_ACCELEROMETER	0.34336853	2.884552	8.6931305
1561020877925	TYPE_MAGNETIC_FIELD	-25.14	-20.76	-29.279999
1561020877925	TYPE_GYROSCOPE	0.046554565	0.38520813	0.78538513
1561020877925	TYPE_ROTATION_VECTOR	0.07565414	-0.13755602	-0.8241484
1561020877925	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-22.38	-53.339996	-165.48
1561020877925	TYPE_GYROSCOPE_UNCALIBRATED	0.09651184	0.45143127	0.6981964
1561020877925	TYPE_ACCELEROMETER_UNCALIBRATED	0.275177	2.8713837	8.709885
1561020877945	TYPE_ACCELEROMETER	0.53240967	2.913269	8.77449
1561020877945	TYPE_MAGNETIC_FIELD	-25.199999	-20.76	-29.58
1561020877945	TYPE_GYROSCOPE	-0.026123047	0.32962036	0.78538513
1561020877945	TYPE_ROTATION_VECTOR	0.07324218	-0.14233357	-0.8188774
1561020877945	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-22.439999	-53.339996	-165.78
1561020877945	TYPE_GYROSCOPE_UNCALIBRATED	-0.03175354	0.37322998	0.71469116
1561020877945	TYPE_ACCELEROMETER_UNCALIBRATED	0.44985962	2.8917236	8.739792
1561020877965	TYPE_ACCELEROMETER	0.65563965	3.036499	8.628525
