#	startTime:1561021057877
#	SiteID:5cd969be39e2fc0b4afe732d	SiteName:东方商厦(青浦店)	FloorId:5cd969c639e2fc0b4afe7bbc	FloorName:F5
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561021057877	TYPE_WAYPOINT	27.571037	24.283909
1561021058018	TYPE_ACCELEROMETER	0.79441833	2.6476593	9.784256
1561021058018	TYPE_MAGNETIC_FIELD	-31.56	-20.939999	-38.46
1561021058018	TYPE_GYROSCOPE	-0.29916382	0.16407776	0.6571045
1561021058018	TYPE_ROTATION_VECTOR	0.04989211	-0.12572819	-0.7955122
1561021058018	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-36.84	-48.239998	-173.34
1561021058018	TYPE_GYROSCOPE_UNCALIBRATED	-0.5552521	0.29566956	0.8161011
1561021058018	TYPE_ACCELEROMETER_UNCALIBRATED	0.5515442	2.6572418	9.76152
1561021058038	TYPE_ACCELEROMETER	0.8363037	2.666809	9.67778
1561021058038	TYPE_MAGNETIC_FIELD	-31.56	-20.58	-38.46
1561021058038	TYPE_GYROSCOPE	-0.13119507	0.13659668	0.51538086
1561021058038	TYPE_ROTATION_VECTOR	0.047537096	-0.12949927	-0.7832573
1561021058038	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-36.84	-47.879997	-173.34
1561021058038	TYPE_GYROSCOPE_UNCALIBRATED	-0.1673584	0.17164612	0.4630127
1561021058038	TYPE_ACCELEROMETER_UNCALIBRATED	0.79441833	2.6476593	9.784256
1561021058058	TYPE_ACCELEROMETER	0.9224396	2.7852478	9.379868
1561021058058	TYPE_MAGNETIC_FIELD	-31.199999	-20.22	-38.52
1561021058058	TYPE_GYROSCOPE	-0.05116272	0.11766052	0.4805603
